Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
LAYRIM,All Years,0.927,0.556487,724.55,0.475,3.71,5.09,1.371967655,1D,[0.8-1.0),[0.5-0.6),[600-800),[0.4-0.5),[3.6-3.8),[5.0-5.3),[1.3-1.4)
YECFAN,All Years,1.039,0.495259,400.21,0.403,3.87,4.78,1.235142119,2D,[1.0-1.1),[0.4-0.5),[400-500),[0.4-0.5),[3.8-4.0),[4.6-4.8),[1.2-1.3)
WAMROR,All Years,0.715,0.640289,722.46,0.811,3.88,5.49,1.414948454,1D,[0.6-0.8),[0.6-0.7),[600-800),[0.8-1.0),[3.8-4.0),[5.3-5.6),[1.4-1.5)
WAMRIL,All Years,0.714,0.624711,591.48,0.803,3.89,5.19,1.334190231,1D,[0.6-0.8),[0.6-0.7),[500-600),[0.8-1.0),[3.8-4.0),[5.0-5.3),[1.3-1.4)
WEJXOY,All Years,1.018,0.184669,195.1,0.142,4.13,4.77,1.15496368,1D,[1.0-1.1),[0.1-0.2),[150-200),[0.1-0.2),[4.0-4.5),[4.6-4.8),[1.1-1.2)
HAHWAO,All Years,1.284,0.425065,453.87,0.319,4.13,4.98,1.205811138,1D,[1.2-1.3),[0.4-0.5),[400-500),[0.3-0.4),[4.0-4.5),[4.8-5.0),[1.2-1.3)
HATHUF,All Years,1.078,0.414648,648.92,0.327,4.2,6.13,1.45952381,1D,[1.0-1.1),[0.4-0.5),[600-800),[0.3-0.4),[4.0-4.5),[6.0-6.5),[1.4-1.5)
WERCAX,All Years,0.899,0.404539,1035.79,0.4,4.99,6.39,1.280561122,1D,[0.8-1.0),[0.4-0.5),[1000-1250),[0.4-0.5),[4.5-5.0),[6.0-6.5),[1.2-1.3)
YAPPAG,All Years,0.684,0.730296,3243.23,1.091,7.05,9.46,1.341843972,3D,[0.6-0.8),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.3-1.4)
VORNAR20,All Years,0.311,0.826651,4789.16,2.766,11.84,12.52,1.057432432,1D,[0.0-0.6),[0.8-0.9),[3000-10250],[2.0-7.0],[10.0-72.0],[8.0-72.0],[1.0-1.1)
PODFOD,All Years,1.575,0.149251,14.25,0.068,1.35,4.41,3.266666667,2D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[3.0-4.0)
YOBRUC,All Years,1.117,0.273363,91.29,0.209,1.68,4.24,2.523809524,1D,[1.1-1.2),[0.2-0.3),[50-100),[0.2-0.3),[1.6-2.2),[4.2-4.3),[2.5-3.0)
LEYNAE,All Years,1.286,0.296638,26.28,0.171,1.87,4.31,2.304812834,2D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.0-2.5)
YOCPEL,All Years,1.08,0.315717,340.28,0.216,2.19,5.05,2.305936073,1D,[1.0-1.1),[0.3-0.4),[300-400),[0.2-0.3),[1.6-2.2),[5.0-5.3),[2.0-2.5)
LETVUB,All Years,1.176,0.228603,45.41,0.133,2.76,4.71,1.706521739,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[2.6-3.0),[4.6-4.8),[1.6-1.8)
YEYLUJ,All Years,1.243,0.324267,145.11,0.193,2.92,4.98,1.705479452,1D,[1.2-1.3),[0.3-0.4),[100-150),[0.1-0.2),[2.6-3.0),[4.8-5.0),[1.6-1.8)
LEYMIL,All Years,1.387,0.334115,125.38,0.201,3.15,4.94,1.568253968,1D,[1.3-1.4),[0.3-0.4),[100-150),[0.2-0.3),[3.0-3.3),[4.8-5.0),[1.5-1.6)
PIWWAT,All Years,1.444,0.222745,122.63,0.152,3.22,6.07,1.885093168,2D,[1.4-1.5),[0.2-0.3),[100-150),[0.1-0.2),[3.0-3.3),[6.0-6.5),[1.8-2.0)
HESJUK,All Years,0.871,0.606111,191.96,0.673,3.47,4.63,1.334293948,1D,[0.8-1.0),[0.6-0.7),[150-200),[0.6-0.8),[3.3-3.6),[4.6-4.8),[1.3-1.4)
WINGEF,All Years,0.935,0.491511,780.23,0.503,3.52,6.46,1.835227273,2D,[0.8-1.0),[0.4-0.5),[600-800),[0.5-0.6),[3.3-3.6),[6.0-6.5),[1.8-2.0)
WEMPAF,All Years,0.902,0.506699,554.36,0.496,3.69,5.78,1.566395664,1D,[0.8-1.0),[0.5-0.6),[500-600),[0.4-0.5),[3.6-3.8),[5.6-6.0),[1.5-1.6)
WIDVUA,All Years,1.515,0.343009,133.33,0.216,4.08,4.61,1.129901961,1D,[1.5-1.6),[0.3-0.4),[100-150),[0.2-0.3),[4.0-4.5),[4.6-4.8),[1.1-1.2)
HENVUR,All Years,0.885,0.516555,1007.63,0.517,4.14,6.37,1.538647343,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.5-0.6),[4.0-4.5),[6.0-6.5),[1.5-1.6)
WINGUV,All Years,0.704,0.679442,2341.36,0.86,5.37,6.88,1.281191806,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[6.5-7.0),[1.2-1.3)
SAHKUH10,All Years,0.816,0.614545,2215.36,0.666,5.5,7.24,1.316363636,2D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.3-1.4)
WETRIW,All Years,0.784,0.690775,2556.5,0.901,5.82,8.57,1.472508591,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[8.0-10.0),[1.4-1.5)
HESJOE,All Years,0.516,0.799344,6236.96,1.538,6.02,6.81,1.131229236,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.5-2.0),[6.0-8.0),[6.5-7.0),[1.1-1.2)
YEZGAL,All Years,1.395,0.439993,598.27,0.289,6.11,6.78,1.109656301,1D,[1.3-1.4),[0.4-0.5),[500-600),[0.2-0.3),[6.0-8.0),[6.5-7.0),[1.1-1.2)
POBWIM,All Years,0.684,0.663727,2924.68,0.904,6.91,8.07,1.167872648,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2)
HEYTUA,All Years,0.603,0.728958,3702.97,1.228,7.02,9.3,1.324786325,3D,[0.6-0.8),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.3-1.4)
HEYTOU,All Years,0.611,0.731933,3631.79,1.222,7.1,9.47,1.333802817,2D,[0.6-0.8),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.3-1.4)
HEYTIO,All Years,0.657,0.733803,3400.17,1.141,7.11,9.69,1.362869198,3D,[0.6-0.8),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.3-1.4)
YISPUL,All Years,0.69,0.543766,1273.61,0.746,12.38,12.92,1.04361874,2D,[0.6-0.8),[0.5-0.6),[1250-1500),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1)
ZURSOU,All Years,1.394,0.144594,9.83,0.087,1.06,4.25,4.009433962,3D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[4.0-5.0)
ZUBXEZ,All Years,1.515,0.19625,21.69,0.088,1.1,4.41,4.009090909,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[4.0-5.0)
YUDHEK,All Years,1.416,0.138072,2.8,0.068,1.25,4.07,3.256,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
YONYOP,All Years,1.221,0.135246,3.1,0.071,1.26,4.12,3.26984127,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
HIJLIV,All Years,1.366,0.164034,17.63,0.086,1.51,4.28,2.834437086,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.2-4.3),[2.5-3.0)
ZITJUH,All Years,1.248,0.214047,79.82,0.134,1.58,4.48,2.835443038,1D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.4-1.6),[4.4-4.5),[2.5-3.0)
ZOLXON,All Years,1.289,0.191308,20.98,0.103,1.69,4.27,2.526627219,2D,[1.2-1.3),[0.1-0.2),[0-50),[0.1-0.2),[1.6-2.2),[4.2-4.3),[2.5-3.0)
YIYGOC,All Years,1.21,0.267677,59.8,0.16,1.71,4.33,2.532163743,1D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.5-3.0)
YIYGUI,All Years,1.209,0.278574,82.07,0.157,1.77,4.48,2.531073446,1D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.4-4.5),[2.5-3.0)
ZUNXUB,All Years,1.752,0.144352,2.92,0.051,1.92,4.1,2.135416667,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[3.9-4.2),[2.0-2.5)
YUXMUZ,All Years,1.42,0.267104,4.09,0.152,2.05,4.09,1.995121951,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[1.8-2.0)
ZEMPIQ,All Years,1.925,0.249145,138.87,0.092,2.2,6.66,3.027272727,1D,[1.8-2.0),[0.2-0.3),[100-150),[0.0-0.1),[2.2-2.6),[6.5-7.0),[3.0-4.0)
ZIDYUG,All Years,1.345,0.355301,103.58,0.218,2.22,4.75,2.13963964,3D,[1.3-1.4),[0.3-0.4),[100-150),[0.2-0.3),[2.2-2.6),[4.6-4.8),[2.0-2.5)
YUCHAF,All Years,0.963,0.388761,10.16,0.342,2.57,4.2,1.634241245,2D,[0.8-1.0),[0.3-0.4),[0-50),[0.3-0.4),[2.2-2.6),[4.2-4.3),[1.6-1.8)
ZUFGUC,All Years,1.46,0.200607,50.49,0.137,2.59,4.42,1.706563707,1D,[1.4-1.5),[0.2-0.3),[50-100),[0.1-0.2),[2.2-2.6),[4.4-4.5),[1.6-1.8)
ZEBMUO,All Years,1.213,0.13913,0.48,0.093,2.6,4.08,1.569230769,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[2.6-3.0),[3.9-4.2),[1.5-1.6)
ZURRAF,All Years,1.251,0.266364,2.54,0.191,2.72,4.11,1.511029412,2D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[2.6-3.0),[3.9-4.2),[1.5-1.6)
ZOXZIV,All Years,1.753,0.281299,0.34,0.153,2.8,4.08,1.457142857,1D,[1.6-1.8),[0.2-0.3),[0-50),[0.1-0.2),[2.6-3.0),[3.9-4.2),[1.4-1.5)
ZURREJ,All Years,1.222,0.278425,6.38,0.206,2.8,4.23,1.510714286,2D,[1.2-1.3),[0.2-0.3),[0-50),[0.2-0.3),[2.6-3.0),[4.2-4.3),[1.5-1.6)
ZITWII,All Years,1.312,0.283116,54.42,0.186,3.04,4.3,1.414473684,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[3.0-3.3),[4.3-4.4),[1.4-1.5)
ZURMII,All Years,0.859,0.359468,14.72,0.35,3.05,4.19,1.373770492,2D,[0.8-1.0),[0.3-0.4),[0-50),[0.3-0.4),[3.0-3.3),[3.9-4.2),[1.3-1.4)
YONZAC,All Years,0.983,0.392246,374.37,0.353,3.18,5.69,1.789308176,1D,[0.8-1.0),[0.3-0.4),[300-400),[0.3-0.4),[3.0-3.3),[5.6-6.0),[1.6-1.8)
ZIDPEH,All Years,1.153,0.442487,469.23,0.315,3.21,5.24,1.632398754,2D,[1.1-1.2),[0.4-0.5),[400-500),[0.3-0.4),[3.0-3.3),[5.0-5.3),[1.6-1.8)
ZURSUA,All Years,1.348,0.184729,19.69,0.131,3.34,4.33,1.296407186,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.1-0.2),[3.3-3.6),[4.3-4.4),[1.2-1.3)
ZUQPIK,All Years,1.636,0.209019,90.36,0.097,3.35,5.06,1.510447761,1D,[1.6-1.8),[0.2-0.3),[50-100),[0.0-0.1),[3.3-3.6),[5.0-5.3),[1.5-1.6)
ZEBDAL,All Years,0.902,0.516995,498.04,0.479,3.49,4.66,1.335243553,1D,[0.8-1.0),[0.5-0.6),[400-500),[0.4-0.5),[3.3-3.6),[4.6-4.8),[1.3-1.4)
ZUZBAX,All Years,1.886,0.460296,427.92,0.25,3.51,6.82,1.943019943,3D,[1.8-2.0),[0.4-0.5),[400-500),[0.2-0.3),[3.3-3.6),[6.5-7.0),[1.8-2.0)
HIFLAJ,All Years,0.997,0.373968,25.38,0.354,3.61,4.26,1.180055402,1D,[0.8-1.0),[0.3-0.4),[0-50),[0.3-0.4),[3.6-3.8),[4.2-4.3),[1.1-1.2)
NACVUI,All Years,1.158,0.393827,209.36,0.307,3.63,4.47,1.231404959,1D,[1.1-1.2),[0.3-0.4),[200-300),[0.3-0.4),[3.6-3.8),[4.4-4.5),[1.2-1.3)
YONXEE,All Years,0.876,0.572357,1388.28,0.613,4.33,5.34,1.233256351,2D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.6-0.8),[4.0-4.5),[5.3-5.6),[1.2-1.3)
ZARQAK,All Years,1.313,0.53215,1115.14,0.429,5.32,7.77,1.460526316,1D,[1.3-1.4),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[7.0-8.0),[1.4-1.5)
YUBRUI,All Years,0.743,0.750239,2709.77,0.866,5.86,6.84,1.167235495,2D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[5.0-6.0),[6.5-7.0),[1.1-1.2)
ZUZWAS,All Years,0.743,0.707954,2759.24,0.969,6.51,8.39,1.288786482,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.2-1.3)
YULHUI,All Years,0.828,0.574276,1648.22,0.647,8.28,9.18,1.108695652,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.1-1.2)
RILHUP,All Years,1.645,0.144346,0.69,0.056,0.72,4.06,5.638888889,NON-POROUS,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[5.0-12.0]
TIPRIT,All Years,1.853,0.205744,34.52,0.088,0.86,4.85,5.639534884,NON-POROUS,[1.8-2.0),[0.2-0.3),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0]
TOCVIQ,All Years,1.778,0.195414,0.04,0.08,1.02,4.08,4,3D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[4.0-5.0)
RELKAU,All Years,1.298,0.054557,12.91,0.026,1.11,4.46,4.018018018,3D,[1.2-1.3),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[4.0-5.0)
TOGCUN,All Years,1.065,0.179091,10.56,0.112,1.3,4.26,3.276923077,3D,[1.0-1.1),[0.1-0.2),[0-50),[0.1-0.2),[0.7-1.4),[4.2-4.3),[3.0-4.0)
ROBPON,All Years,1.491,0.157393,3.32,0.058,1.46,4.12,2.821917808,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0)
TEPFUP,All Years,1.03,0.248459,8.72,0.221,1.63,4.12,2.527607362,2D,[1.0-1.1),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[3.9-4.2),[2.5-3.0)
REJQAY,All Years,1.584,0.218552,52.64,0.103,1.95,4.51,2.312820513,1D,[1.5-1.6),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.5-4.6),[2.0-2.5)
TEYRIY,All Years,1.106,0.276956,46.99,0.177,2.05,4.39,2.141463415,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.0-2.5)
TOKPAK,All Years,1.272,0.382938,1.17,0.249,2.05,4.09,1.995121951,2D,[1.2-1.3),[0.3-0.4),[0-50),[0.2-0.3),[1.6-2.2),[3.9-4.2),[1.8-2.0)
RIZWAY,All Years,1.116,0.30964,9.74,0.168,2.13,4.27,2.004694836,1D,[1.1-1.2),[0.3-0.4),[0-50),[0.1-0.2),[1.6-2.2),[4.2-4.3),[2.0-2.5)
RISWUL,All Years,0.983,0.249847,20.63,0.22,2.39,4.27,1.786610879,3D,[0.8-1.0),[0.2-0.3),[0-50),[0.2-0.3),[2.2-2.6),[4.2-4.3),[1.6-1.8)
RINPOT,All Years,0.993,0.42632,38.49,0.36,2.64,4.31,1.632575758,1D,[0.8-1.0),[0.4-0.5),[0-50),[0.3-0.4),[2.6-3.0),[4.3-4.4),[1.6-1.8)
RIGBEO,All Years,1.222,0.331197,76.69,0.242,2.76,5.21,1.887681159,2D,[1.2-1.3),[0.3-0.4),[50-100),[0.2-0.3),[2.6-3.0),[5.0-5.3),[1.8-2.0)
TERQAI,All Years,1.254,0.296467,219.38,0.18,2.95,5.03,1.705084746,1D,[1.2-1.3),[0.2-0.3),[200-300),[0.1-0.2),[2.6-3.0),[5.0-5.3),[1.6-1.8)
RODQAC,All Years,1.043,0.401992,134.9,0.309,3.08,4.49,1.457792208,2D,[1.0-1.1),[0.4-0.5),[100-150),[0.3-0.4),[3.0-3.3),[4.4-4.5),[1.4-1.5)
RODQEG,All Years,1.031,0.406032,148.78,0.319,3.09,4.52,1.462783172,2D,[1.0-1.1),[0.4-0.5),[100-150),[0.3-0.4),[3.0-3.3),[4.5-4.6),[1.4-1.5)
TIPBID,All Years,1.033,0.263382,269.05,0.184,3.15,4.94,1.568253968,1D,[1.0-1.1),[0.2-0.3),[200-300),[0.1-0.2),[3.0-3.3),[4.8-5.0),[1.5-1.6)
TUHGUY,All Years,1.002,0.277163,82.66,0.262,3.23,4.43,1.371517028,1D,[1.0-1.1),[0.2-0.3),[50-100),[0.2-0.3),[3.0-3.3),[4.4-4.5),[1.3-1.4)
TEJYUC,All Years,1.053,0.472952,645.73,0.371,3.33,6.27,1.882882883,1D,[1.0-1.1),[0.4-0.5),[600-800),[0.3-0.4),[3.3-3.6),[6.0-6.5),[1.8-2.0)
NAJSAS,All Years,0.974,0.627483,743.99,0.59,3.71,6.06,1.633423181,1D,[0.8-1.0),[0.6-0.7),[600-800),[0.5-0.6),[3.6-3.8),[6.0-6.5),[1.6-1.8)
RIVDEF,All Years,1.304,0.310462,69.66,0.217,3.77,4.35,1.153846154,1D,[1.3-1.4),[0.3-0.4),[50-100),[0.2-0.3),[3.6-3.8),[4.3-4.4),[1.1-1.2)
TECSOJ,All Years,0.901,0.428227,852.94,0.489,4.11,4.85,1.180048662,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.4-0.5),[4.0-4.5),[4.8-5.0),[1.1-1.2)
TUQDIS,All Years,1.111,0.567918,1321.28,0.459,4.47,6.05,1.353467562,1D,[1.1-1.2),[0.5-0.6),[1250-1500),[0.4-0.5),[4.0-4.5),[6.0-6.5),[1.3-1.4)
TINPOV,All Years,1.154,0.50912,1724.65,0.428,4.5,5.56,1.235555556,1D,[1.1-1.2),[0.5-0.6),[1500-2000),[0.4-0.5),[4.5-5.0),[5.3-5.6),[1.2-1.3)
REBLUF,All Years,1.096,0.548697,1741.76,0.485,6.15,6.83,1.110569106,1D,[1.0-1.1),[0.5-0.6),[1500-2000),[0.4-0.5),[6.0-8.0),[6.5-7.0),[1.1-1.2)
RAPVEJ,All Years,0.807,0.700179,2641.89,0.881,6.25,8.39,1.3424,1D,[0.8-1.0),[0.7-0.8),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.3-1.4)
TIRHIL,All Years,0.758,0.733375,2986.63,0.983,7.05,9.2,1.304964539,3D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.3-1.4)
TUNFAJ,All Years,0.558,0.783249,4019.2,1.348,7.13,9.45,1.325385694,3D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.3-1.4)
RAPVAF,All Years,0.795,0.711566,2659.63,0.907,7.4,8.25,1.114864865,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2)
RINNUX,All Years,1.19,0.567013,1306.45,0.444,8.08,8.67,1.073019802,1D,[1.1-1.2),[0.5-0.6),[1250-1500),[0.4-0.5),[10.0-72.0],[8.0-10.0),[1.0-1.1)
ROPVAT,All Years,1.966,0.17608,26.02,0.07,1.1,4.41,4.009090909,3D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[4.0-5.0)
POQNOY,All Years,1.239,0.196905,23.77,0.116,1.11,4.42,3.981981982,3D,[1.2-1.3),[0.1-0.2),[0-50),[0.1-0.2),[0.7-1.4),[4.4-4.5),[3.0-4.0)
NEYREO,All Years,1.295,0.169602,34.99,0.087,1.13,4.53,4.008849558,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.5-4.6),[4.0-5.0)
NUJTUH,All Years,1.771,0.144343,1.33,0.061,1.26,4.11,3.261904762,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
NUJVAP,All Years,1.971,0.14977,15.24,0.052,1.31,4.28,3.267175573,1D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0)
PITVOD,All Years,0.958,0.346743,340.96,0.245,1.31,5.25,4.007633588,1D,[0.8-1.0),[0.3-0.4),[300-400),[0.2-0.3),[0.7-1.4),[5.0-5.3),[4.0-5.0)
NIMPII,All Years,2.295,0.220204,123.53,0.079,1.39,5.55,3.992805755,3D,[2.0-7.0],[0.2-0.3),[100-150),[0.0-0.1),[0.7-1.4),[5.3-5.6),[3.0-4.0)
NOCBUC,All Years,1.49,0.333174,266.04,0.179,1.4,5.59,3.992857143,3D,[1.4-1.5),[0.3-0.4),[200-300),[0.1-0.2),[1.4-1.6),[5.3-5.6),[3.0-4.0)
NEYRIS,All Years,1.279,0.177372,42.63,0.093,1.41,4.59,3.255319149,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.5-4.6),[3.0-4.0)
NEBVOF,All Years,1.463,0.202629,22.15,0.114,1.51,4.28,2.834437086,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[1.4-1.6),[4.2-4.3),[2.5-3.0)
NAYBUK,All Years,1.265,0.240166,22.81,0.147,1.71,4.32,2.526315789,3D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.5-3.0)
NAWPEG,All Years,1.478,0.136862,9.73,0.086,1.87,4.31,2.304812834,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.3-4.4),[2.0-2.5)
NAWPAC,All Years,1.649,0.137665,0.34,0.069,1.9,4.06,2.136842105,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[3.9-4.2),[2.0-2.5)
PAWGOJ,All Years,1.375,0.239843,20.8,0.139,2.05,4.39,2.141463415,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.0-2.5)
NICLIU,All Years,1.096,0.241703,260.82,0.162,2.15,5.43,2.525581395,1D,[1.0-1.1),[0.2-0.3),[200-300),[0.1-0.2),[1.6-2.2),[5.3-5.6),[2.5-3.0)
ROFPIL,All Years,1.763,0.229752,82.7,0.118,2.46,4.92,2,1D,[1.6-1.8),[0.2-0.3),[50-100),[0.1-0.2),[2.2-2.6),[4.8-5.0),[2.0-2.5)
PAXQIO,All Years,2.62,0.157847,1.63,0.055,2.53,4.12,1.628458498,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[3.9-4.2),[1.6-1.8)
NATBIT,All Years,1.209,0.389093,62.61,0.289,2.55,4.36,1.709803922,1D,[1.2-1.3),[0.3-0.4),[50-100),[0.2-0.3),[2.2-2.6),[4.3-4.4),[1.6-1.8)
POQXOI,All Years,1.12,0.297885,104.55,0.19,2.68,4.79,1.787313433,1D,[1.1-1.2),[0.2-0.3),[100-150),[0.1-0.2),[2.6-3.0),[4.6-4.8),[1.6-1.8)
ROFNAB,All Years,1.187,0.14395,18.35,0.093,2.79,4.37,1.566308244,1D,[1.1-1.2),[0.1-0.2),[0-50),[0.0-0.1),[2.6-3.0),[4.3-4.4),[1.5-1.6)
NIZPOB,All Years,1.134,0.365973,73.92,0.211,2.84,4.65,1.637323944,3D,[1.1-1.2),[0.3-0.4),[50-100),[0.2-0.3),[2.6-3.0),[4.6-4.8),[1.6-1.8)
NUNSUK,All Years,1.245,0.214875,19.88,0.101,3.04,4.3,1.414473684,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[4.3-4.4),[1.4-1.5)
POWQEX,All Years,0.992,0.382553,22.02,0.307,3.04,4.18,1.375,1D,[0.8-1.0),[0.3-0.4),[0-50),[0.3-0.4),[3.0-3.3),[3.9-4.2),[1.3-1.4)
NUHGOM,All Years,1.14,0.249961,6.88,0.212,3.07,4.21,1.371335505,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.2-0.3),[3.0-3.3),[4.2-4.3),[1.3-1.4)
NILHOF,All Years,1.136,0.298898,105.94,0.198,3.08,4.35,1.412337662,1D,[1.1-1.2),[0.2-0.3),[100-150),[0.1-0.2),[3.0-3.3),[4.3-4.4),[1.4-1.5)
NOWHIQ,All Years,1.264,0.332764,250.36,0.231,3.08,5.03,1.633116883,1D,[1.2-1.3),[0.3-0.4),[200-300),[0.2-0.3),[3.0-3.3),[5.0-5.3),[1.6-1.8)
NONKOQ,All Years,1.325,0.219127,6.51,0.126,3.11,4.27,1.372990354,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[4.2-4.3),[1.3-1.4)
NUJXAR,All Years,0.993,0.520204,763.43,0.491,3.13,5.91,1.888178914,1D,[0.8-1.0),[0.5-0.6),[600-800),[0.4-0.5),[3.0-3.3),[5.6-6.0),[1.8-2.0)
NIRXUH,All Years,1.421,0.342924,107.6,0.185,3.17,4.63,1.460567823,1D,[1.4-1.5),[0.3-0.4),[100-150),[0.1-0.2),[3.0-3.3),[4.6-4.8),[1.4-1.5)
NICZAA01,All Years,1.058,0.478296,181.57,0.354,3.2,5.02,1.56875,2D,[1.0-1.1),[0.4-0.5),[150-200),[0.3-0.4),[3.0-3.3),[5.0-5.3),[1.5-1.6)
NUTCAG,All Years,1.098,0.468326,484.43,0.356,3.43,6.13,1.787172012,1D,[1.0-1.1),[0.4-0.5),[400-500),[0.3-0.4),[3.3-3.6),[6.0-6.5),[1.6-1.8)
NASZOW,All Years,0.773,0.560048,408.52,0.676,3.5,4.81,1.374285714,3D,[0.6-0.8),[0.5-0.6),[400-500),[0.6-0.8),[3.3-3.6),[4.8-5.0),[1.3-1.4)
RUNZUV,All Years,2.468,0.164624,21.69,0.056,3.54,4.48,1.265536723,2D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[3.3-3.6),[4.4-4.5),[1.2-1.3)
