Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-),0
CEJPEM,1984,1.35,0.187,13.14,0.084,1.5,4.24,2.827,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CEJPEM
CAHMAZ,1984,2.284,0.388,90.27,0.156,3.73,4.85,1.3,1D,[2.0-7.0],[0.3-0.4),[50-100),[0.1-0.2),[3.6-3.8),[4.8-5.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CAHMAZ
CIXZIS,1985,1.471,0.154,39.09,0.08,2.99,4.37,1.462,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[2.6-3.0),[4.3-4.4),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CIXZIS
COLVEE,1985,1.352,0.235,214.21,0.138,4.5,4.72,1.049,1D,[1.3-1.4),[0.2-0.3),[200-300),[0.1-0.2),[4.5-5.0),[4.6-4.8),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=COLVEE
CORMIF,1985,0.88,0.587,1680.25,0.604,5.78,7.4,1.28,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CORMIF
COKDUB,1985,0.801,0.691,2609.07,0.92,7.6,8.35,1.099,1D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=COKDUB
CUHBOW,1985,0.705,0.52,1458.1,0.712,10.75,11.51,1.071,1D,[0.6-0.8),[0.5-0.6),[1250-1500),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CUHBOW
DEWDOY,1986,1.736,0.156,14.07,0.088,2.18,4.37,2.005,2D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DEWDOY
DELTUJ,1986,1.164,0.191,10.13,0.111,2.55,4.16,1.631,2D,[1.1-1.2),[0.1-0.2),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DELTUJ
DEHFUR,1986,1.127,0.414,566.28,0.354,2.73,6.06,2.22,3D,[1.1-1.2),[0.4-0.5),[500-600),[0.3-0.4),[2.6-3.0),[6.0-6.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DEHFUR
DISTUU,1986,0.817,0.57,1005.78,0.619,3.98,5.63,1.415,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.6-0.8),[3.8-4.0),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DISTUU
DAHWUE,1986,1.065,0.581,1524.41,0.561,9.68,10.44,1.079,1D,[1.0-1.1),[0.5-0.6),[1500-2000),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DAHWUE
FAFMAA,1987,1.941,0.186,32.34,0.077,0.87,4.92,5.655,NON-POROUS,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAFMAA
FAFMEE,1987,1.859,0.181,34.52,0.08,0.87,4.94,5.678,NON-POROUS,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAFMEE
FEFNAF,1987,2.212,0.215,16.68,0.096,2.32,4.37,1.884,1D,[2.0-7.0],[0.2-0.3),[0-50),[0.0-0.1),[2.2-2.6),[4.3-4.4),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEFNAF
DUYWAV,1987,1.389,0.241,59.55,0.137,2.81,4.8,1.708,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[2.6-3.0),[4.8-5.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DUYWAV
FEWNEA,1987,1.16,0.243,0.08,0.175,2.84,4.02,1.415,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[2.6-3.0),[3.9-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEWNEA
DUDCEK01,1987,1.274,0.222,5.49,0.144,3.02,4.15,1.374,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[3.9-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DUDCEK01
FAFVIR,1987,1.58,0.27,8.56,0.16,3.27,4.14,1.266,2D,[1.5-1.6),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[3.9-4.2),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAFVIR
DUBFEL,1987,0.995,0.549,584.5,0.492,3.53,5.54,1.569,1D,[0.8-1.0),[0.5-0.6),[500-600),[0.4-0.5),[3.3-3.6),[5.3-5.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DUBFEL
FAVCAG,1987,0.733,0.652,2553.2,0.802,6.01,8.19,1.363,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAVCAG
FAJZIZ,1987,0.762,0.599,2181.07,0.708,7.82,8.52,1.09,1D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAJZIZ
FEJFEF,1987,0.997,0.55,1334.63,0.528,8.14,9.07,1.114,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEJFEF
FAGZAO,1987,0.755,0.649,1950.35,0.826,9.58,10.11,1.055,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAGZAO
FAGZES,1987,0.898,0.658,1665.37,0.69,9.88,10.33,1.046,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAGZES
FUVCII,1988,0.987,0.373,10.46,0.338,3.61,4.17,1.155,1D,[0.8-1.0),[0.3-0.4),[0-50),[0.3-0.4),[3.6-3.8),[3.9-4.2),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FUVCII
GADFUM,1988,1.543,0.378,394.21,0.253,3.93,5.84,1.486,1D,[1.5-1.6),[0.3-0.4),[300-400),[0.2-0.3),[3.8-4.0),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GADFUM
SADPIW,1989,1.941,0.079,27.38,0.038,1.16,4.65,4.009,2D,[1.8-2.0),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.6-4.8),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SADPIW
GEZYOZ,1989,1.31,0.144,9.63,0.092,1.31,4.28,3.267,3D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEZYOZ
GENZUU,1989,1.18,0.188,28.43,0.122,1.33,4.33,3.256,2D,[1.1-1.2),[0.1-0.2),[0-50),[0.1-0.2),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GENZUU
GIJDIM,1989,2.15,0.119,20.93,0.042,1.69,4.77,2.822,3D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GIJDIM
GIJDEI,1989,1.585,0.239,66.46,0.117,1.74,4.41,2.534,1D,[1.5-1.6),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.4-4.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GIJDEI
GIHVOI,1989,1.528,0.302,24.77,0.156,2.04,4.36,2.137,1D,[1.5-1.6),[0.3-0.4),[0-50),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GIHVOI
COKDUB01,1989,1.602,0.285,42.65,0.216,3.01,4.56,1.515,1D,[1.6-1.8),[0.2-0.3),[0-50),[0.2-0.3),[3.0-3.3),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=COKDUB01
SANHIY,1989,1.265,0.313,92.67,0.192,3.03,4.59,1.515,1D,[1.2-1.3),[0.3-0.4),[50-100),[0.1-0.2),[3.0-3.3),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SANHIY
SAJTOM,1989,0.606,0.581,2427.58,0.878,6.97,8.09,1.161,1D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAJTOM
GEWMIE,1989,0.418,0.733,2734.23,1.631,13.85,14.42,1.041,1D,[0.0-0.6),[0.7-0.8),[2000-3000),[1.5-2.0),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEWMIE
SEDHAK,1990,1.308,0.138,72.67,0.075,1.21,4.86,4.017,3D,[1.3-1.4),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SEDHAK
KAMGEK,1990,1.714,0.081,3.32,0.03,1.48,4.19,2.831,1D,[1.6-1.8),[0.0-0.1),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KAMGEK
KEBRAK,1990,2.218,0.124,25.18,0.042,1.74,4.92,2.828,3D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEBRAK
KEBREO,1990,1.69,0.229,76.58,0.108,1.82,4.61,2.533,1D,[1.6-1.8),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEBREO
JALTUL,1990,0.52,0.53,17.87,0.931,3.1,4.13,1.332,3D,[0.0-0.6),[0.5-0.6),[0-50),[0.8-1.0),[3.0-3.3),[3.9-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JALTUL
VEHLAV,1990,1.172,0.364,171.19,0.249,3.31,4.68,1.414,3D,[1.1-1.2),[0.3-0.4),[150-200),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VEHLAV
VANMAY,1990,0.769,0.756,2327.15,0.919,4.75,6.16,1.297,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[4.5-5.0),[6.0-6.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VANMAY
KAWFIX,1990,0.824,0.422,1427.73,0.516,5.65,6.21,1.099,1D,[0.8-1.0),[0.4-0.5),[1250-1500),[0.5-0.6),[5.0-6.0),[6.0-6.5),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KAWFIX
CORMIF10,1990,0.88,0.588,1687.07,0.601,5.77,7.39,1.281,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CORMIF10
SAWVOB,1990,0.979,0.557,1950.21,0.524,7.07,7.43,1.051,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAWVOB
KIHYIJ,1991,1.419,0.176,2.13,0.105,1.64,4.14,2.524,2D,[1.4-1.5),[0.1-0.2),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIHYIJ
JEZRUB,1991,1.381,0.157,2.62,0.075,1.67,4.22,2.527,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JEZRUB
VIVFUB,1991,1.442,0.236,53.1,0.132,1.85,4.69,2.535,2D,[1.4-1.5),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIVFUB
VIVGAI,1991,1.656,0.183,20.72,0.088,1.87,4.32,2.31,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIVGAI
SOBGIZ,1991,1.188,0.327,155.16,0.215,2.72,4.63,1.702,2D,[1.1-1.2),[0.3-0.4),[150-200),[0.2-0.3),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOBGIZ
KIWFOL,1991,1.472,0.169,3.52,0.067,2.77,4.04,1.458,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[2.6-3.0),[3.9-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIWFOL
SIZWAZ,1991,1.203,0.366,299.12,0.249,3.14,5.13,1.634,1D,[1.2-1.3),[0.3-0.4),[200-300),[0.2-0.3),[3.0-3.3),[5.0-5.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIZWAZ
KEXFAU,1991,0.912,0.496,131.66,0.442,3.46,4.27,1.234,1D,[0.8-1.0),[0.4-0.5),[100-150),[0.4-0.5),[3.3-3.6),[4.2-4.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEXFAU
VILDUP,1991,1.8,0.426,133.79,0.287,3.57,4.64,1.3,2D,[1.8-2.0),[0.4-0.5),[100-150),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VILDUP
TAGPIA,1991,0.871,0.489,937.32,0.45,4.1,5.79,1.412,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.4-0.5),[4.0-4.5),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAGPIA
KIDGOT,1991,0.773,0.619,1906.6,0.728,4.52,7.24,1.602,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.6-0.8),[4.5-5.0),[7.0-8.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIDGOT
VIDMOK,1991,0.66,0.635,2459.44,0.862,4.75,6.16,1.297,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[4.5-5.0),[6.0-6.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIDMOK
KOSFIH,1992,1.721,0.185,51.2,0.098,1.1,4.39,3.991,1D,[1.6-1.8),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KOSFIH
KOWKUC,1992,0.93,0.202,183.46,0.161,1.29,5.15,3.992,3D,[0.8-1.0),[0.2-0.3),[150-200),[0.1-0.2),[0.7-1.4),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KOWKUC
VOPLIV,1992,1.029,0.234,103.55,0.17,1.52,4.98,3.276,3D,[1.0-1.1),[0.2-0.3),[100-150),[0.1-0.2),[1.4-1.6),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VOPLIV
SOFCEV,1992,1.186,0.219,55.93,0.145,1.67,4.72,2.826,2D,[1.1-1.2),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOFCEV
SOJGUT,1992,1.205,0.278,10.59,0.175,1.78,4.1,2.303,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOJGUT
SOZSUV,1992,1.162,0.225,124.21,0.159,2.02,5.12,2.535,1D,[1.1-1.2),[0.2-0.3),[100-150),[0.1-0.2),[1.6-2.2),[5.0-5.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOZSUV
KOLFUM,1992,1.153,0.298,16.61,0.195,2.1,4.2,2,2D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KOLFUM
JOFZIN,1992,1.537,0.249,2.13,0.115,2.59,4.07,1.571,1D,[1.5-1.6),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JOFZIN
ACUFUR01,1992,1.146,0.324,102.97,0.344,2.89,4.36,1.509,2D,[1.1-1.2),[0.3-0.4),[100-150),[0.3-0.4),[2.6-3.0),[4.3-4.4),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ACUFUR01
JOGBAI,1992,1.364,0.278,13.18,0.192,3.06,4.33,1.415,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[4.3-4.4),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JOGBAI
JISDOE,1992,1.05,0.347,364.26,0.249,3.85,5.14,1.335,1D,[1.0-1.1),[0.3-0.4),[300-400),[0.2-0.3),[3.8-4.0),[5.0-5.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JISDOE
SOJTOA,1992,1.485,0.248,258.17,0.141,4.58,5.4,1.179,1D,[1.4-1.5),[0.2-0.3),[200-300),[0.1-0.2),[4.5-5.0),[5.3-5.6),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOJTOA
JORRUD,1992,0.467,0.595,3291.79,1.407,4.64,5.79,1.248,1D,[0.0-0.6),[0.5-0.6),[3000-10250],[1.0-1.5),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JORRUD
KORLAE,1992,0.35,0.754,9996.08,2.255,5.11,6.55,1.282,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[2.0-7.0],[5.0-6.0),[6.5-7.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KORLAE
VAWXAS01,1992,0.904,0.609,1718.26,0.619,5.29,6.7,1.267,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAWXAS01
SUDBOI,1992,1.074,0.571,1098.21,0.468,5.79,6.49,1.121,1D,[1.0-1.1),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUDBOI
SOWYOS,1993,1.125,0.149,91.28,0.099,0.89,5.06,5.685,NON-POROUS,[1.1-1.2),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[5.0-5.3),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOWYOS
SOWYEI,1993,1.279,0.137,57.22,0.08,1.14,4.54,3.982,2D,[1.2-1.3),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOWYEI
JOWJEK,1993,1.172,0.224,4.06,0.133,1.47,4.16,2.83,3D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JOWJEK
WACRIB,1993,1.176,0.264,71.57,0.167,1.97,4.55,2.31,2D,[1.1-1.2),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.5-4.6),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WACRIB
YAGJIZ,1993,1.078,0.322,64.36,0.221,2.68,4.57,1.705,1D,[1.0-1.1),[0.3-0.4),[50-100),[0.2-0.3),[2.6-3.0),[4.5-4.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YAGJIZ
PEFVIF,1993,1.46,0.304,209.05,0.21,2.72,6.04,2.221,3D,[1.4-1.5),[0.3-0.4),[200-300),[0.2-0.3),[2.6-3.0),[6.0-6.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PEFVIF
KUDJOI,1993,0.998,0.417,846.1,0.375,3.98,6.37,1.601,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.3-0.4),[3.8-4.0),[6.0-6.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KUDJOI
JULDAV,1993,0.726,0.569,1954.36,0.741,4.31,5.45,1.265,2D,[0.6-0.8),[0.5-0.6),[1500-2000),[0.6-0.8),[4.0-4.5),[5.3-5.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JULDAV
WABMET,1993,0.823,0.495,1705.07,0.567,6.23,6.91,1.109,1D,[0.8-1.0),[0.4-0.5),[1500-2000),[0.5-0.6),[6.0-8.0),[6.5-7.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WABMET
JUBHIX,1993,0.749,0.602,1792.21,0.729,8.14,9.66,1.187,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JUBHIX
PANVOP,1993,0.764,0.604,1274.66,0.717,11.93,12.45,1.044,1D,[0.6-0.8),[0.6-0.7),[1250-1500),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PANVOP
HAHPAH,1994,1.322,0.076,35.8,0.04,0.88,4.97,5.648,NON-POROUS,[1.3-1.4),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HAHPAH
WEFSEF,1994,1.638,0.12,15.05,0.052,1.39,4.55,3.273,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEFSEF
HAKZOI,1994,1.509,0.177,5.92,0.09,1.52,4.3,2.829,2D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HAKZOI
VOPLIV01,1994,1.03,0.236,106.56,0.166,1.52,4.95,3.257,2D,[1.0-1.1),[0.2-0.3),[100-150),[0.1-0.2),[1.4-1.6),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VOPLIV01
HECYUJ,1994,1.217,0.28,62.7,0.188,1.61,4.55,2.826,2D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.5-4.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HECYUJ
HAMSAP,1994,1.431,0.155,73.13,0.07,1.7,5.54,3.259,1D,[1.4-1.5),[0.1-0.2),[50-100),[0.0-0.1),[1.6-2.2),[5.3-5.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HAMSAP
PETDIB,1994,1.318,0.215,70.66,0.144,2.08,4.46,2.144,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.4-4.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PETDIB
WEGJUN,1994,1.287,0.232,101.38,0.139,2.33,4.66,2,1D,[1.2-1.3),[0.2-0.3),[100-150),[0.1-0.2),[2.2-2.6),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEGJUN
HAYPIG,1994,1.468,0.357,0.36,0.192,2.6,4.08,1.569,1D,[1.4-1.5),[0.3-0.4),[0-50),[0.1-0.2),[2.6-3.0),[3.9-4.2),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HAYPIG
YARYOF,1994,1.225,0.428,117.62,0.403,3.15,4.6,1.46,1D,[1.2-1.3),[0.4-0.5),[100-150),[0.4-0.5),[3.0-3.3),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YARYOF
HALFAB,1994,1.275,0.251,24.39,0.18,3.44,4.24,1.233,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[3.3-3.6),[4.2-4.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HALFAB
LAYRIM,1994,0.927,0.556,724.55,0.475,3.71,5.09,1.372,1D,[0.8-1.0),[0.5-0.6),[600-800),[0.4-0.5),[3.6-3.8),[5.0-5.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAYRIM
YECFAN,1994,1.039,0.495,400.21,0.403,3.87,4.78,1.235,2D,[1.0-1.1),[0.4-0.5),[400-500),[0.4-0.5),[3.8-4.0),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YECFAN
