Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-),0
EWAZUX,2004,1.047,0.577,695.28,0.493,3.72,4.7,1.263,2D,[1.0-1.1),[0.5-0.6),[600-800),[0.4-0.5),[3.6-3.8),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EWAZUX
IQUZID,2004,1.25,0.363,192.96,0.237,3.75,4.74,1.264,1D,[1.2-1.3),[0.3-0.4),[150-200),[0.2-0.3),[3.6-3.8),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IQUZID
IQUZOJ,2004,1.082,0.494,514,0.386,3.75,4.64,1.237,1D,[1.0-1.1),[0.4-0.5),[500-600),[0.3-0.4),[3.6-3.8),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IQUZOJ
OLIXIQ,2004,1.223,0.293,373.1,0.213,3.79,5.05,1.332,1D,[1.2-1.3),[0.2-0.3),[300-400),[0.2-0.3),[3.6-3.8),[5.0-5.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OLIXIQ
IMAWOI,2004,1.442,0.426,159.42,0.27,3.82,4.6,1.204,1D,[1.4-1.5),[0.4-0.5),[150-200),[0.2-0.3),[3.8-4.0),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IMAWOI
APORUS,2004,0.937,0.506,876.46,0.528,3.82,5.58,1.461,1D,[0.8-1.0),[0.5-0.6),[800-1000),[0.5-0.6),[3.8-4.0),[5.3-5.6),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=APORUS
EZIZUI,2004,1.083,0.413,475.94,0.309,3.85,5.63,1.462,1D,[1.0-1.1),[0.4-0.5),[400-500),[0.3-0.4),[3.8-4.0),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EZIZUI
UMEZUH,2004,1.374,0.278,260.74,0.157,3.89,4.58,1.177,1D,[1.3-1.4),[0.2-0.3),[200-300),[0.1-0.2),[3.8-4.0),[4.5-4.6),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UMEZUH
ASUBIZ,2004,1.103,0.52,822.34,0.377,3.89,5.99,1.54,1D,[1.1-1.2),[0.5-0.6),[800-1000),[0.3-0.4),[3.8-4.0),[5.6-6.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ASUBIZ
ISAYUW,2004,1.412,0.312,111.87,0.164,3.9,4.33,1.11,1D,[1.4-1.5),[0.3-0.4),[100-150),[0.1-0.2),[3.8-4.0),[4.3-4.4),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ISAYUW
OBUFEX,2004,1.099,0.448,302.63,0.349,3.9,4.94,1.267,1D,[1.0-1.1),[0.4-0.5),[300-400),[0.3-0.4),[3.8-4.0),[4.8-5.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OBUFEX
ESIGES,2004,1.29,0.518,604.72,0.35,3.92,5.09,1.298,1D,[1.2-1.3),[0.5-0.6),[600-800),[0.3-0.4),[3.8-4.0),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ESIGES
OBEGOS,2004,1.213,0.449,331.58,0.357,3.94,5.26,1.335,2D,[1.2-1.3),[0.4-0.5),[300-400),[0.3-0.4),[3.8-4.0),[5.0-5.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OBEGOS
OLUCAZ,2004,1.211,0.26,214.86,0.181,3.95,5.27,1.334,1D,[1.2-1.3),[0.2-0.3),[200-300),[0.1-0.2),[3.8-4.0),[5.0-5.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OLUCAZ
ILIGOZ,2004,1.582,0.318,209.13,0.191,3.96,4.78,1.207,1D,[1.5-1.6),[0.3-0.4),[200-300),[0.1-0.2),[3.8-4.0),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ILIGOZ
EZAWIL,2004,1.349,0.431,577.01,0.332,3.98,5.47,1.374,1D,[1.3-1.4),[0.4-0.5),[500-600),[0.3-0.4),[3.8-4.0),[5.3-5.6),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EZAWIL
IWOLEL,2004,1.176,0.423,592.97,0.337,3.98,4.6,1.156,1D,[1.1-1.2),[0.4-0.5),[500-600),[0.3-0.4),[3.8-4.0),[4.6-4.8),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IWOLEL
ESETOL,2004,1.442,0.334,264.48,0.183,3.99,4.51,1.13,1D,[1.4-1.5),[0.3-0.4),[200-300),[0.1-0.2),[3.8-4.0),[4.5-4.6),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ESETOL
NABYIZ,2004,1.406,0.367,409.56,0.335,4,4.93,1.233,1D,[1.4-1.5),[0.3-0.4),[400-500),[0.3-0.4),[4.0-4.5),[4.8-5.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NABYIZ
ILIGIT,2004,1.5,0.321,259.46,0.207,4.01,4.84,1.207,1D,[1.5-1.6),[0.3-0.4),[200-300),[0.2-0.3),[4.0-4.5),[4.8-5.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ILIGIT
OBEKEM,2004,0.975,0.507,979.36,0.456,4.02,6.86,1.706,1D,[0.8-1.0),[0.5-0.6),[800-1000),[0.4-0.5),[4.0-4.5),[6.5-7.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OBEKEM
SABDIJ,2004,0.739,0.673,1117.54,0.827,4.06,5.27,1.298,1D,[0.6-0.8),[0.6-0.7),[1000-1250),[0.8-1.0),[4.0-4.5),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SABDIJ
