Refcode,Density (g/cm3),"Helium Void Fraction F(He,T) (-)","Surface Area S(AC,T) (m2/g)","Pore Volume V(PO,T) (cm3/g)",Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity
LEZHUW,1.72,0.150991,19.46,0.057,1.87,4.72,2.524064171,1D
LEZSIU,1.23,0.237587,15.43,0.143,1.68,4.26,2.535714286,1D
LEZWUK,3.338,0.168761,44.13,0.047,1.88,5.68,3.021276596,3D
LEZXAR,3.312,0.168561,44.4,0.046,2,5.66,2.83,1D
LEZZEX,1.648,0.272853,140.3,0.109,4.02,5.21,1.2960199,1D
LIBDUX,0.859,0.593075,1863.44,0.643,6.75,7.71,1.142222222,1D
LIBJUD,3.447,0.103756,9.79,0.027,2.79,4.38,1.569892473,1D
LIBKEO,3.819,0.042074,0.22,0.008,0.73,4.12,5.643835616,NON-POROUS
LIBZED,1.373,0.232786,121.58,0.13,2.8,4.78,1.707142857,1D
LICCOQ,0.547,0.742106,3635.33,1.292,4.23,6.17,1.458628842,1D
LICHOX,1.603,0.085793,0.25,0.037,1.03,4.1,3.980582524,3D
LICPAQ,1.392,0.401543,5.78,0.261,3.04,4.3,1.414473684,2D
LICQOF,0.964,0.488458,750.6,0.413,4.05,5.12,1.264197531,2D
LICZIH,1.238,0.460577,816.19,0.304,5.2,5.71,1.098076923,1D
LIDGUC,0.736,0.587947,1486.79,0.722,9.83,11.6,1.180061038,2D
LIDHUD,1.379,0.117227,0.04,0.052,1.73,3.99,2.306358382,1D
LIDLEQ,1.439,0.273726,20.14,0.149,1.52,4.3,2.828947368,1D
LIDLIU,1.23,0.363195,256.1,0.229,2.32,4.95,2.13362069,2D
LIDWIG,1.157,0.391589,534.14,0.248,4.15,5.79,1.395180723,1D
LIFGUD,1.312,0.216122,10.23,0.121,3.58,4.22,1.17877095,1D
LIFLOC,1.194,0.245318,0.88,0.163,2.97,4.07,1.37037037,1D
LIFQUN,2.382,0.303582,156.5,0.164,3.34,5.05,1.511976048,1D
LIFRAV,0.969,0.52341,1665.44,0.46,5.83,6.4,1.097770154,1D
LIFTOK,1.168,0.479103,112.9,0.37,3.46,4.27,1.234104046,1D
LIFTUQ,0.746,0.644263,1738.18,0.86,3.82,5.58,1.460732984,3D
LIFVEC,0.624,0.723257,2641.49,1.013,6.35,7.11,1.119685039,2D
LIFWII,0.902,0.534256,1086.48,0.466,4.72,5.83,1.235169492,1D
LIGHUF,0.92,0.15373,108.14,0.132,1.49,4.87,3.268456376,1D
LIGPIC,1.149,0.485132,771.37,0.365,3.91,6.14,1.570332481,1D
LIGPOH,1.429,0.238569,99.98,0.127,3.87,4.66,1.204134367,1D
LIGQAV,1.438,0.264984,62.49,0.131,1.93,4.45,2.305699482,1D
LIGXIL,0.902,0.530679,1363.81,0.558,8.33,11.11,1.333733493,1D
LIGZAE,0.687,0.615062,1912.45,0.807,8.62,10.76,1.248259861,1D
LIHPIC,1.763,0.369543,188.46,0.17,1.54,5.03,3.266233766,2D
LIHXUX,1.058,0.328417,31.47,0.253,2.75,4.5,1.636363636,3D
LIJHAQ,0.74,0.733384,2802.58,0.877,5.62,8.07,1.43594306,2D
LIJKUN,1.672,0.233988,1.22,0.068,2.42,4.13,1.70661157,2D
LIJROO,1.273,0.261633,74.96,0.149,1.54,5.04,3.272727273,1D
LIJRUU,1.275,0.262421,81.41,0.149,1.25,5,4,3D
LIJSOO,1.214,0.175203,52.02,0.108,1.82,4.61,2.532967033,2D
LIJXEI,1.622,0.167029,16.66,0.083,2.67,4.36,1.632958801,1D
LIKBAJ,1.235,0.308332,92.82,0.169,3.06,4.99,1.630718954,1D
LIKBOZ,1.031,0.387737,835.68,0.321,5.64,7.33,1.29964539,1D
LIKGES,0.521,0.757413,2627.05,1.378,11.31,12.03,1.063660477,1D
LIKPON,1.655,0.264123,114.97,0.131,3.19,5.01,1.570532915,1D
LIKQUS,0.589,0.778795,4274.51,1.344,8.7,9.7,1.114942529,1D
LIKRAZ,0.509,0.781423,4886.79,1.566,8.89,9.81,1.103487064,1D
LIKRED,0.503,0.782956,4912.92,1.592,8.91,9.83,1.10325477,1D
LILQUT,0.741,0.646129,1448.92,0.839,5.56,6.3,1.133093525,1D
LIMLUP,0.964,0.583829,1947.49,0.542,5.19,5.82,1.121387283,1D
LIMQOP,1.424,0.215133,33.97,0.095,2.3,4.33,1.882608696,1D
LIMRAC,1.341,0.258262,42.33,0.139,2.82,4.61,1.634751773,2D
LIMRUV,1.208,0.150833,67.78,0.088,1.19,4.78,4.016806723,3D
LINPII,0.948,0.646451,338.2,0.641,3.48,4.77,1.370689655,2D
LINQAB,1.552,0.169852,33.46,0.072,0.87,4.94,5.67816092,NON-POROUS
LINRUY,1.768,0.352102,109.16,0.184,3.6,4.34,1.205555556,1D
LINSAF,1.816,0.362435,99.06,0.183,3.61,4.35,1.20498615,1D
LIPREI,2.1,0.347334,25.35,0.136,3.57,4.41,1.235294118,1D
LIQBUK,2.051,0.119387,0.35,0.052,1.61,4.09,2.540372671,1D
LIQCAR,2.075,0.123361,1.24,0.052,1.62,4.1,2.530864198,1D
LIQCEV,2.076,0.120672,0.13,0.052,1.59,4.03,2.534591195,1D
LIQCUK,1.416,0.340049,529.96,0.192,5.26,7.22,1.372623574,1D
LIQHAX,0.658,0.676655,2135.42,0.908,7.88,10.03,1.27284264,1D
LIQJEC,0.668,0.818308,3318.05,1.165,8.14,11.37,1.396805897,1D
LIQLIH15,1.158,0.445436,107.64,0.387,3.33,4.21,1.264264264,1D
LIQNEH,1.211,0.136525,20.83,0.073,1.92,4.43,2.307291667,1D
LIQROU,1.634,0.129297,24.25,0.054,1.47,4.81,3.272108844,2D
LIQRUZ,3.372,0.33791,199.76,0.108,3.84,6.41,1.669270833,2D
LIQSAG,1.037,0.528009,915.92,0.521,4.52,5.34,1.181415929,1D
LIQSEK,0.772,0.605192,2506.42,0.852,5.91,6.89,1.165820643,1D
LIRBIA,0.792,0.514399,1548.81,0.578,7.12,9.37,1.316011236,1D
LIRBOG,1.166,0.158823,4.56,0.09,2.09,4.17,1.995215311,2D
LIRFIB,0.555,0.749258,3905.45,1.375,8.59,9.06,1.054714785,3D
LIRJOM,1.019,0.318547,366.06,0.248,3.21,5.24,1.632398754,1D
LIRVAK,0.599,0.773258,3178.62,1.124,4.96,6.71,1.352822581,1D
LISJII,1.595,0.211333,60.59,0.1,3.24,4.73,1.459876543,1D
LITBUN,0.778,0.69572,1926.36,0.781,4.12,5.34,1.296116505,2D
LITKIJ,1.265,0.335139,215.54,0.208,3.69,5.39,1.460704607,1D
LITTUF,1.278,0.120352,0.44,0.06,1.6,4.05,2.53125,1D
LITVAN,1.276,0.120441,0.42,0.06,1.61,4.08,2.534161491,1D
LIVFUT,0.32,0.890146,6136.6,2.71,11.09,14.07,1.26871055,1D
LIVKEI,0.348,0.874092,6874.86,2.416,8.86,9.79,1.10496614,1D
LIVLUZ,1.155,0.480719,631.48,0.324,4.7,5.8,1.234042553,1D
LIVTER,1.218,0.404395,181.9,0.249,2.04,4.7,2.303921569,2D
LIWBOK,1.553,0.160629,15.19,0.073,3.07,4.21,1.371335505,1D
LIWCEB,1.327,0.363059,241.28,0.214,4.47,5.27,1.178970917,1D
LIWCIF,1.308,0.36255,256.71,0.218,4.48,5.29,1.180803571,1D
LIWFAA,1.392,0.272064,352.16,0.155,5.44,6.03,1.108455882,1D
LIWFEE,1.017,0.535065,790.39,0.44,4.69,6.17,1.315565032,1D
LIWKIM,1.18,0.438934,218.39,0.302,3.11,4.54,1.459807074,1D
LIWKIN,1.437,0.264778,18.8,0.154,2.64,4.32,1.636363636,2D
LIWPUE,1.375,0.20798,26.94,0.106,3.77,4.35,1.153846154,1D
LIWQIU,1.385,0.249115,24.66,0.119,2.31,4.62,2,1D
LIWSUI,1.336,0.275848,22.06,0.147,2.75,4.31,1.567272727,1D
LIWTET,1.391,0.327482,155.65,0.2,3.11,4.54,1.459807074,1D
LIWWIY,1.99,0.415519,423.56,0.245,3.48,6.57,1.887931034,1D
LIXRIV,1.456,0.137347,2.29,0.058,0.73,4.15,5.684931507,NON-POROUS
LIXVAP,0.697,0.568211,2343.21,0.763,6.53,8.26,1.264931087,1D
LIXVOF,1.376,0.243833,2.7,0.105,2.8,4.08,1.457142857,1D
LIXYUP,1.317,0.305785,65.68,0.17,2.78,4.97,1.787769784,3D
LIXZAV01,1.484,0.160087,66.02,0.073,0.85,4.79,5.635294118,NON-POROUS
LIXZAV,1.484,0.160087,66.02,0.073,0.85,4.79,5.635294118,NON-POROUS
LIXZAW,1.17,0.331384,274.46,0.192,2.92,5.66,1.938356164,1D
LIXZEA,1.184,0.313493,218.91,0.179,3.25,4.92,1.513846154,1D
LIYKAI,0.85,0.772869,2558.76,0.836,9.1,10.62,1.167032967,1D
LIYPUG,1.643,0.173668,89,0.098,3.55,4.88,1.374647887,1D
LIYQUH,1.207,0.582482,1563.61,0.474,6,7.68,1.28,2D
LIZCEF,1.291,0.21742,2.53,0.11,2.96,4.19,1.415540541,1D
LIZGEJ,1.265,0.270077,243.68,0.164,2.96,5.92,2,1D
LIZHOS,0.487,0.714101,1691.76,1.407,18.36,19.08,1.039215686,1D
LIZKUA,1.154,0.499566,1116.9,0.46,7.12,8.31,1.167134831,1D
LOCZOU,1.307,0.360228,241.32,0.216,2.93,5.25,1.791808874,1D
LOCZUA,1.319,0.359195,176.42,0.212,2.3,4.92,2.139130435,1D
LODBAJ,1.372,0.337493,249.92,0.183,2.05,5.8,2.829268293,3D
LODBIR,1.388,0.293208,137.85,0.154,2.07,5.24,2.531400966,1D
LODKIA,1.623,0.183818,6.76,0.089,2.3,4.33,1.882608696,1D
LODPOK,1.089,0.48706,916.62,0.354,4.66,5.69,1.221030043,1D
LODPUQ,1.111,0.485897,874.69,0.346,4.62,5.57,1.205627706,1D
LODQOK,1.205,0.236369,185.4,0.149,3.47,5.07,1.461095101,1D
LODTEF,1.383,0.303999,133.22,0.161,2.57,4.84,1.883268482,1D
LODZUC,0.621,0.791466,3541.23,1.387,9.54,10.2,1.06918239,1D
LOFGOE,1.282,0.41631,556.85,0.265,3.25,7.85,2.415384615,3D
LOFVIN,1.384,0.154269,84,0.072,1.79,5.85,3.268156425,3D
LOHVEL,1.627,0.235446,70.5,0.116,1.9,4.8,2.526315789,1D
LOJLAZ01,1.671,0.52355,667.57,0.282,5.18,6.18,1.193050193,1D
LOJLAZ,1.786,0.505868,588.12,0.246,4.72,5.76,1.220338983,1D
LOJNAA,1.704,0.172692,9.19,0.069,1.93,4.45,2.305699482,3D
LOLDAR,1.417,0.198431,37.55,0.102,1.11,4.44,4,3D
LOLJIG,1.12,0.367557,163.31,0.261,3.17,5.18,1.634069401,2D
LOMFIC,1.563,0.196128,272.51,0.106,7.1,8.56,1.205633803,1D
LOMLOO,1.592,0.29185,71.35,0.156,4.13,5.23,1.266343826,1D
LOMMEH,1.671,0.126412,35.07,0.043,2.62,5.24,2,1D
LOMMIL,1.509,0.120318,37.73,0.046,2.59,5.18,2,1D
LOMNOS,1.128,0.356913,179.67,0.256,3.1,4.68,1.509677419,1D
LOMQIP,1.366,0.193264,6.17,0.111,3.15,4.21,1.336507937,1D
LONHON,2.891,0.213681,1.76,0.051,1.29,4.2,3.255813953,1D
LONNUX,1.855,0.189525,21.59,0.092,1.37,4.47,3.262773723,1D
LONTAJ,0.791,0.667808,1823.81,0.725,6.02,7.52,1.249169435,1D
LONTEO,1.031,0.484641,599,0.397,4.07,5.43,1.334152334,1D
LONVIV,1.292,0.499509,883.05,0.352,6.5,8.66,1.332307692,1D
LONXER,1.356,0.236936,1.87,0.126,2.63,4.13,1.570342205,1D
LOQLIN,0.95,0.700019,1088.68,0.599,13.85,14.13,1.020216606,1D
LOQSEQ,1.277,0.21362,28.42,0.121,2.42,4.34,1.79338843,1D
LOQSIU,1.288,0.228109,45.91,0.129,2.66,4.53,1.703007519,3D
LOQSOA,1.304,0.226896,45.91,0.129,2.7,4.61,1.707407407,1D
LOQSUG,1.33,0.225518,43.2,0.116,2.49,4.45,1.787148594,2D
LORLAG,1.426,0.213119,7.74,0.124,1.68,4.24,2.523809524,1D
LORLUB,1.045,0.439825,918.69,0.343,5.97,6.89,1.154103853,1D
LORTAP,0.632,0.746491,3313.31,1.038,4.89,7.52,1.537832311,2D
LORTIW,1.049,0.433247,444.73,0.303,3.36,5.27,1.568452381,1D
LORTIX,1.166,0.401865,18.6,0.248,1.88,4.34,2.308510638,1D
LORTUJ,1.216,0.395988,42.42,0.219,1.84,4.24,2.304347826,1D
LOTDIJ,0.96,0.400258,389.73,0.314,4.04,5.11,1.264851485,1D
LOTNOX,0.805,0.596414,601.69,0.615,3.64,4.85,1.332417582,3D
LOTNUD,1.105,0.34811,366.55,0.231,4.61,5.22,1.132321041,1D
LOTPAL,1.109,0.345808,346.77,0.223,4.58,5.18,1.131004367,1D
LOTPER,2.727,0.102473,0.12,0.031,0.72,4.06,5.638888889,NON-POROUS
LOTPUF,1.179,0.255615,1.09,0.142,1.62,4.09,2.524691358,1D
LOTQOA,0.675,0.625843,2136.24,0.908,5.74,6.56,1.142857143,1D
LOVGEK,1.241,0.207171,47.15,0.128,0.79,4.49,5.683544304,NON-POROUS
LOVGOU,1.054,0.340609,199.56,0.279,2.2,4.7,2.136363636,1D
LOVQOE,1.164,0.296774,40.6,0.18,2.47,4.41,1.785425101,2D
LOVVAV,1.306,0.347396,194.21,0.209,3.61,5.11,1.415512465,1D
LOXWEC,1.461,0.131356,0.23,0.08,3.32,4.09,1.231927711,1D
LOXYOO,1.073,0.295024,293.86,0.222,2.86,4.66,1.629370629,1D
LOYTOK,1.402,0.173437,49.05,0.096,1.49,4.87,3.268456376,2D
LOZHUF,1.471,0.169908,37.79,0.093,1.6,4.53,2.83125,2D
LOZJER,1.209,0.395098,792.31,0.302,4.51,5.78,1.281596452,1D
LOZTAX,1.146,0.46901,543.55,0.336,3.8,5.37,1.413157895,3D
LOZTEB,1.175,0.446859,404.53,0.315,3.84,5.27,1.372395833,3D
LUBLEZ,1.23,0.176698,0.51,0.113,1.76,4.07,2.3125,1D
LUBLUP,1.246,0.237213,48.01,0.103,0.82,4.62,5.634146341,NON-POROUS
LUBNAZ,1.169,0.478776,716.34,0.371,6.96,8.12,1.166666667,1D
LUBREH,0.8,0.637305,1569.19,0.733,11.59,12.53,1.0811044,1D
LUCHUO,1.435,0.209489,109.03,0.102,2.57,5.49,2.13618677,1D
LUDGEY,0.678,0.661029,2645.37,0.889,4.47,5.88,1.315436242,1D
LUDSUA,1.306,0.258407,25.25,0.143,2.32,4.38,1.887931034,1D
LUFFEY,0.624,0.7178,3295.4,1.013,6.35,7.11,1.119685039,3D
LUFNAC01,1.076,0.494481,730.26,0.379,3.72,7.45,2.002688172,1D
LUFNAC02,1.08,0.497578,745.42,0.378,3.76,7.51,1.997340426,1D
LUFNAC03,1.076,0.497416,760.39,0.382,3.77,7.54,2,1D
LUFNAC04,1.076,0.496322,750.41,0.381,3.71,7.41,1.997304582,1D
LUFNAC05,1.081,0.49332,729.86,0.375,3.73,7.45,1.997319035,1D
LUFNAC,1.088,0.484789,637.8,0.359,3.09,7.13,2.307443366,1D
LUFNEG,1.229,0.396557,84.31,0.251,2.97,4.49,1.511784512,1D
LUFNOQ,1.235,0.350777,304.05,0.203,1.4,6.48,4.628571429,1D
LUFNUW,1.238,0.353546,328.94,0.202,1.29,5.94,4.604651163,1D
LUFPAE,1.244,0.329666,275.4,0.189,1,5.63,5.63,NON-POROUS
LUFYUH,1.382,0.200619,205.1,0.12,1.17,6.61,5.64957265,2D
LUGPOT,0.645,0.644868,3443.46,0.939,5.25,7.31,1.392380952,1D
LUGSAI,1.504,0.123354,12.58,0.06,1.87,4.32,2.310160428,1D
LUHYOD,1.4,0.113373,22.51,0.055,1.38,4.51,3.268115942,1D
LUJPOV,1.317,0.321233,314.76,0.19,4.12,4.57,1.109223301,1D
LUJPUB,1.227,0.355781,99.77,0.228,3.81,4.5,1.181102362,1D
LUJPUC,1.473,0.253942,40.69,0.16,3.49,4.31,1.23495702,2D
LUJQAI,1.022,0.485586,594.52,0.423,4.33,5.23,1.207852194,1D
LUJQIQ,1.391,0.099553,7.39,0.05,2.5,4.27,1.708,1D
LUJSIS01,1.259,0.189468,8.75,0.101,1.98,4.24,2.141414141,1D
LUJSIS,1.265,0.181832,4.41,0.098,2.07,4.15,2.004830918,1D
LUJTIT,0.795,0.513483,2142.84,0.577,4.98,6.22,1.248995984,1D
LUKLIN,0.466,0.874481,4032.19,1.718,9.41,19.35,2.056323061,3D
LUKWIX,1.667,0.151549,3.17,0.1,2.32,4.14,1.784482759,2D
LUKYAS,2.11,0.222263,10.74,0.1,3.02,4.42,1.463576159,1D
LULVOF,1.207,0.29038,86.13,0.178,3.62,4.82,1.331491713,1D
LULXEX,1.321,0.319338,4.06,0.171,3.32,4.1,1.234939759,1D
LUMDIG,1.294,0.403749,749.82,0.265,4.86,7.49,1.541152263,3D
LUMFAB,1.264,0.23104,56.26,0.162,1.33,4.34,3.263157895,3D
LUMQOB,1.872,0.063485,6.68,0.027,2.57,4.59,1.785992218,1D
LUMSIX,1.279,0.301408,215.4,0.173,3.04,5.19,1.707236842,1D
LUMYEZ,1.304,0.571101,791.99,0.395,4.16,5.79,1.391826923,2D
LUMYID,1.305,0.571737,818.45,0.399,4.16,5.71,1.372596154,1D
LUMYUP,1.292,0.570867,814.31,0.406,4.13,5.93,1.435835351,2D
LUMZAW,1.304,0.568939,835.24,0.396,4.34,5.64,1.299539171,2D
LUNDEE,1.291,0.349447,277.48,0.192,2.26,5.73,2.53539823,1D
LUNRUJ,1.382,0.276783,209.78,0.145,1.11,6.27,5.648648649,3D
LUPQES,1.173,0.247928,81.35,0.152,3.55,4.49,1.264788732,1D
LUPTOG,1.093,0.359525,142.39,0.251,3.66,4.88,1.333333333,1D
LUPZED,0.423,0.834275,5531.56,1.78,7.1,10.05,1.415492958,1D
LUPZIH,0.429,0.834187,5450.51,1.755,6.91,10.36,1.499276411,1D
LUQCUW,1.576,0.563624,22.98,0.276,3.46,4.27,1.234104046,1D
LUQHAG,0.992,0.386669,804.62,0.317,6.46,7.97,1.23374613,1D
LUQHEM,0.772,0.569683,2165.06,0.689,5.35,7.82,1.461682243,3D
LUQMUH,1.085,0.474214,74.31,0.347,2.73,4.46,1.633699634,1D
LUQTOG,1.231,0.159809,3.89,0.051,1.98,4.24,2.141414141,1D
LURLOB,1.004,0.620609,1356.54,0.521,6.79,7.26,1.06921944,1D
LURMAO,1.001,0.647118,1377.67,0.536,6.98,7.6,1.088825215,1D
LURXOM,1.2,0.267862,886.26,0.257,6.4,6.84,1.06875,1D
LUSDAE,1.663,0.1204,5.98,0.057,2.59,4.24,1.637065637,1D
LUSHIR,1.23,0.429553,544.71,0.269,4.61,5.56,1.206073753,1D
LUSHUD,1.271,0.390922,415.39,0.236,4.12,5.08,1.233009709,2D
LUSJAL,1.371,0.296289,105.2,0.165,3.49,4.42,1.266475645,2D
LUSJEP,1.188,0.468608,676.94,0.299,5.18,5.98,1.154440154,1D
LUSJIT,1.189,0.459745,653.19,0.299,5.1,6.01,1.178431373,1D
LUSJOZ,1.179,0.465962,678.71,0.312,5.16,6.02,1.166666667,1D
LUTKIW,0.994,0.522096,250.98,0.528,3.32,4.42,1.331325301,1D
LUTKOC,1.051,0.514244,206.55,0.496,3.23,4.57,1.414860681,3D
LUTMIW,0.829,0.557092,824.23,0.564,3.89,5.19,1.334190231,2D
LUTWAZ,1.266,0.173954,38.44,0.097,1.16,4.65,4.00862069,2D
LUTWED,0.791,0.616898,2008.94,0.707,8.02,9.12,1.137157107,1D
LUVLOD,1.432,0.201937,26.27,0.125,2.55,4.35,1.705882353,1D
LUVLUJ,1.151,0.426941,720.44,0.373,4.22,5.62,1.331753555,1D
LUVTAY,1.086,0.487298,880.08,0.358,9.38,10.03,1.069296375,1D
LUVTEC,1.079,0.484299,871.7,0.36,9.73,10.27,1.055498458,1D
LUVZEH,1.218,0.296297,41.84,0.189,2.61,4.46,1.708812261,1D
LUWCAI,2.14,0.21987,26.6,0.086,1.76,4.46,2.534090909,1D
LUWNOG,0.705,0.615422,2639.95,0.772,5.6,8.33,1.4875,1D
LUWSAY,1.667,0.369443,249.54,0.22,3.31,5.4,1.63141994,1D
LUWYEI,1.736,0.283315,26.78,0.162,3.09,4.23,1.368932039,1D
LUXWEI,1.348,0.495586,387.74,0.289,3.85,5.14,1.335064935,1D
LUXWIM,1.303,0.339603,167.23,0.222,2.95,4.47,1.515254237,1D
LUXWUY,1.512,0.065541,3.82,0.029,0.74,4.19,5.662162162,NON-POROUS
LUYMOJ,1.081,0.459218,112.26,0.336,2.73,4.46,1.633699634,1D
LUYMUP,1.591,0.332491,26.53,0.157,3.12,4.28,1.371794872,1D
LUZDAM,0.808,0.5639,1790.5,0.657,6.21,8.01,1.289855072,1D
MABFON,1.834,0.147263,0.54,0.063,1.02,4.08,4,1D
MABFUS,1.416,0.184306,47.9,0.099,3.49,4.65,1.332378223,1D
MABJOP,1.57,0.19266,4.6,0.087,2.98,4.08,1.369127517,1D
MABNIP,1.279,0.258128,17.97,0.15,2.84,4.29,1.51056338,1D
MABVIX,1.324,0.223939,126.41,0.123,1.62,5.29,3.265432099,2D
MACDOL,0.687,0.567976,1619.18,0.76,10.84,12.03,1.109778598,1D
MADBUQ,1.015,0.371417,1121.02,0.356,5.23,6.1,1.166347992,1D
MADTUI,1.405,0.20557,54.83,0.114,1.86,4.7,2.52688172,2D
MADVUJ,1.656,0.240794,133.76,0.109,4.1,4.94,1.204878049,1D
MADWAQ,1.522,0.231665,123.52,0.117,3.85,4.87,1.264935065,1D
MADWEU,1.361,0.230447,65.68,0.125,3.24,4.45,1.37345679,1D
MAFLUD,1.15,0.525426,391.28,0.405,3.44,5.2,1.511627907,1D
MAGBIH,1.528,0.312309,45.38,0.164,2.7,4.41,1.633333333,1D
MAGBON,1.144,0.666898,1189.97,0.494,5.08,6.6,1.299212598,1D
MAGBUT01,0.778,0.343215,692.23,0.389,1.88,5.68,3.021276596,2D
MAGCEE01,0.8,0.330967,597.8,0.367,1.93,5.46,2.829015544,3D
MAGCEE,0.83,0.31315,475.74,0.33,1.8,5.11,2.838888889,3D
MAGCOO,0.804,0.332959,15.55,0.36,2.66,4.17,1.567669173,1D
MAGCUU,0.932,0.30704,213.36,0.24,2.23,5.15,2.30941704,1D
MAGDAB,0.942,0.299379,183.94,0.227,1.99,5.04,2.532663317,3D
MAGNEQ01,1.418,0.231296,6.6,0.19,2.47,4.22,1.708502024,1D
MAGNEQ02,1.405,0.236383,10.21,0.192,2.48,4.24,1.709677419,1D
MAGNEQ03,1.399,0.238976,11.83,0.2,2.48,4.24,1.709677419,1D
MAGNEQ04,1.423,0.233234,7.66,0.192,2.36,4.22,1.788135593,1D
MAGNEQ,1.422,0.228553,5.94,0.19,2.47,4.21,1.704453441,1D
MAGVOG01,0.897,0.640727,1761.11,0.717,9.8,10.08,1.028571429,1D
MAHHAF,1.303,0.292587,13.38,0.237,2.61,4.26,1.632183908,1D
MAHSOE,0.81,0.545542,1734.38,0.622,5.79,7.06,1.219343696,1D
MAHYEZ,1.23,0.20325,13.94,0.126,1.78,4.5,2.528089888,1D
MAHYID,0.618,0.717233,2976.69,1.084,7.55,9.55,1.264900662,2D
MAJGOV,1.3,0.357452,158.17,0.225,2.82,5.05,1.790780142,1D
MAJHIQ,1.243,0.2351,127.16,0.133,1.69,4.77,2.822485207,1D
MAJLOZ,1.29,0.38929,190.83,0.28,2.96,4.83,1.631756757,1D
MAKFEL,1.117,0.35229,664.1,0.246,5.49,6.22,1.132969035,1D
MAKFIP,1.125,0.349838,661.64,0.239,5.45,6.17,1.132110092,1D
MAKRUM,0.581,0.650672,3606.65,1.214,5.04,6.91,1.371031746,2D
MAKTUP,0.828,0.577505,1547.33,0.607,4.78,6.38,1.334728033,1D
MAKZEE,1.604,0.204149,0.89,0.107,2.53,4.14,1.636363636,1D
MAKZII,1.476,0.269304,272.39,0.157,3.99,4.93,1.235588972,1D
MAKZOO,1.534,0.214356,3.81,0.126,3.04,4.17,1.371710526,1D
MAKZUV,1.17,0.395649,61.01,0.239,3.69,4.35,1.178861789,2D
MALYIJ,0.868,0.484249,438.95,0.451,3.83,5.1,1.331592689,1D
MALYOP,0.926,0.463235,531.79,0.414,3.99,5.64,1.413533835,1D
MAMKEQ,0.413,0.784588,5540.13,1.853,7.45,8.83,1.185234899,2D
MAMKUG,1.131,0.232928,0.23,0.11,1.59,4.02,2.528301887,1D
MAMXAB,0.868,0.619403,1676.19,0.669,9.5,10.39,1.093684211,1D
MANLET,1.089,0.310577,221.11,0.191,1.7,5.55,3.264705882,2D
MANROL,0.622,0.672702,2968.25,0.994,9.28,10.45,1.126077586,1D
MANZIL,1.395,0.271269,105.2,0.147,3.19,4.38,1.373040752,1D
MAPBEL,0.751,0.626873,2708.49,0.767,5.36,7.71,1.438432836,1D
MAPDEM,2.616,0.320068,6.23,0.146,2.93,4.15,1.416382253,1D
MAPFIS,1.131,0.437568,419.21,0.321,3.84,5.27,1.372395833,2D
MAPHAP,1.631,0.299122,5.55,0.127,2.48,4.23,1.705645161,1D
MAPQIE,1.53,0.227597,87.31,0.134,3.08,4.5,1.461038961,1D
MAPZEJ,1.408,0.198458,54.61,0.108,3.11,4.55,1.463022508,2D
MAQRAA01,1.295,0.498482,756.61,0.322,5.06,5.97,1.179841897,1D
MAQRAA,1.298,0.49542,736.93,0.32,5.02,5.98,1.19123506,1D
MARBOY,1.062,0.275085,129.62,0.199,3.34,5.05,1.511976048,1D
MARCEP,1.047,0.29143,137.24,0.186,3.63,4.59,1.26446281,1D
MARCIT,0.921,0.484923,20.52,0.417,2.92,4.26,1.45890411,3D
MARCOZ,0.851,0.478385,1158.42,0.465,4.5,5.76,1.28,1D
MARFIW,0.914,0.506844,828.57,0.506,4.05,5.12,1.264197531,1D
MARJEW,1.563,0.252756,195.21,0.111,4.46,5.27,1.18161435,1D
MARJOG,1.473,0.311625,416.78,0.171,5.25,6.48,1.234285714,1D
MARKEX,1.468,0.312391,396.61,0.169,5.33,6.35,1.191369606,1D
MARKOH,1.692,0.068528,2.73,0.029,1.02,4.09,4.009803922,1D
MARKUL,1.32,0.35125,373,0.219,3.83,5.68,1.483028721,1D
MARLAU,1.09,0.312296,151.98,0.222,3.16,4.78,1.512658228,1D
MARSAB,1.27,0.214775,5.63,0.138,1.66,4.19,2.524096386,2D
MARXEK,1.76,0.490162,505.44,0.234,5.23,5.86,1.120458891,1D
MASCOZ,0.784,0.497692,1572.87,0.57,6.44,8.65,1.343167702,1D
MASQAY,1.528,0.096598,1.36,0.043,1.26,4.12,3.26984127,1D
MASVUY,1.086,0.244835,0.47,0.165,2.03,4.06,2,1D
MATCER,0.814,0.656173,1649.64,0.679,4.18,9.65,2.30861244,3D
MATFIY,1.415,0.495842,708.43,0.329,3.4,8.6,2.529411765,1D
MATJIC,1.218,0.127146,0.61,0.026,2.26,4.05,1.792035398,1D
MATMEC,1.242,0.244548,73.95,0.147,3.19,4.37,1.369905956,1D
MAVFEV03,1.664,0.424535,336.54,0.265,3.75,4.63,1.234666667,3D
MAVFEV,1.662,0.422851,339.52,0.265,3.75,4.62,1.232,3D
MAVNAA,1.214,0.32288,188.58,0.17,3.73,4.97,1.332439678,1D
MAVRUX,0.765,0.570405,1642.48,0.687,8.5,10.44,1.228235294,1D
MAVTOT,1.041,0.17815,56.24,0.115,1.14,4.54,3.98245614,1D
MAVTUA,0.932,0.519022,1331.48,0.524,5.61,9.69,1.727272727,1D
MAWFEW,0.739,0.62198,644.13,0.721,3.44,5.19,1.50872093,1D
