Refcode,Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),LCD/PLD,Porosity,Density [binned] (g/cm3),HVF [binned],Surface area [binned] (m2/g),Free volume [binned] (cm3/g),PLD [binned] (A),LCD [binned] (A),LCD/PLD [binned]
WEKPOT,0.924,0.596,1576.11,0.581,5.14,8.22,1.599,1D,0.8,0.5,1500,0.5,5,8,1.5
WELYET,0.536,0.761,4059.27,1.385,7.36,10.1,1.372,2D,0,0.7,3000,1,6,10,1.3
WELZAQ,1.215,0.336,156.62,0.206,2.33,4.66,2.000,3D,1.2,0.3,150,0.2,2.2,4.6,2
WELZEU,1.43,0.308,89.32,0.16,2.15,4.61,2.144,3D,1.4,0.3,50,0.1,1.8,4.6,2
WEMBUN,1.802,0.411,150.8,0.229,3.66,4.52,1.235,3D,1.8,0.4,150,0.2,3.6,4.5,1.2
WEMCAU,1.85,0.443,152.92,0.228,3.69,4.36,1.182,3D,1.8,0.4,150,0.2,3.6,4.3,1.1
WEMCOH,2.093,0.139,37.19,0.042,1.29,5.17,4.008,1D,2,0.1,0,0,1,5,4
WEMDID,1.592,0.410,233.11,0.266,3.75,4.52,1.205,3D,1.5,0.4,200,0.2,3.6,4.5,1.2
WEMDOJ,1.647,0.414,221.06,0.257,3.75,4.42,1.179,3D,1.6,0.4,200,0.2,3.6,4.4,1.1
WEMDUP,1.671,0.420,200.37,0.254,3.7,4.36,1.178,3D,1.6,0.4,200,0.2,3.6,4.3,1.1
WEMFAX,1.705,0.410,190.1,0.242,3.72,4.48,1.204,3D,1.6,0.4,150,0.2,3.6,4.4,1.2
WEMFEB,1.726,0.410,182.18,0.24,3.71,4.48,1.208,3D,1.6,0.4,150,0.2,3.6,4.4,1.2
WEMFIF,1.76,0.410,166.81,0.234,3.73,4.49,1.204,3D,1.6,0.4,150,0.2,3.6,4.4,1.2
WEMFOL,1.779,0.410,160.68,0.234,3.74,4.51,1.206,3D,1.6,0.4,150,0.2,3.6,4.5,1.2
WEMKUW,1.371,0.377,13.54,0.193,2.65,4.33,1.634,1D,1.3,0.3,0,0.1,2.6,4.3,1.6
WEMPAF,0.902,0.507,554.36,0.496,3.69,5.78,1.566,1D,0.8,0.5,500,0.4,3.6,5.6,1.5
WEMVUI,1.265,0.204,118.59,0.111,2.87,5.74,2.000,1D,1.2,0.2,100,0.1,2.6,5.6,2
WENFOM,1.199,0.231,74.92,0.151,3.36,4.48,1.333,1D,1.1,0.2,50,0.1,3.3,4.4,1.3
WENFUS,1.211,0.220,51.39,0.142,3.15,4.45,1.413,1D,1.2,0.2,50,0.1,3,4.4,1.4
WENXEV,1.902,0.448,166.33,0.194,3.5,4.8,1.371,2D,1.8,0.4,150,0.1,3.3,4.8,1.3
WEPREP,1.163,0.326,364.34,0.21,3.52,4.98,1.415,1D,1.1,0.3,300,0.2,3.3,4.8,1.4
WEPRER,1.192,0.333,440.15,0.202,4.33,5.62,1.298,1D,1.1,0.3,400,0.2,4,5.6,1.2
WEPZEX,1.446,0.149,11.14,0.062,1.48,4.18,2.824,3D,1.4,0.1,0,0,1.4,4,2.5
WEQLIO,1.323,0.172,12.17,0.095,2,4.27,2.135,1D,1.3,0.1,0,0,1.8,4.2,2
WEQMOV,1.194,0.632,1428.05,0.487,6.55,8.56,1.307,2D,1.1,0.6,1250,0.4,6,8,1.3
WERCAX,0.899,0.405,1035.79,0.4,4.99,6.39,1.281,1D,0.8,0.4,1000,0.4,4.5,6,1.2
WERDUV,0.73,0.617,1690.84,0.78,11.76,13.99,1.190,1D,0.6,0.6,1500,0.6,10,10,1.1
WERYOH,1.88,0.116,0.91,0.045,1.77,4.1,2.316,1D,1.8,0.1,0,0,1.4,4,2
WESYAV,1.398,0.458,363.06,0.249,4.26,4.72,1.108,1D,1.3,0.4,300,0.2,4,4.6,1.1
WESYEZ,1.474,0.429,285.77,0.237,3.73,4.72,1.265,1D,1.4,0.4,200,0.2,3.6,4.6,1.2
WESYUP,1.059,0.511,189.02,0.396,3.07,4.49,1.463,1D,1,0.5,150,0.3,3,4.4,1.4
WESZIE,0.894,0.563,1871.68,0.591,5.27,7.45,1.414,1D,0.8,0.5,1500,0.5,5,7,1.4
WETDOR,1.107,0.444,68.88,0.318,3.33,4.32,1.297,1D,1.1,0.4,50,0.3,3.3,4.3,1.2
WETFIN,0.783,0.663,2222.43,0.754,5.73,7.54,1.316,1D,0.6,0.6,2000,0.6,5,7,1.3
WETPUJ,1.369,0.298,215.02,0.182,3.71,5.6,1.509,1D,1.3,0.2,200,0.1,3.6,5.6,1.5
WETRIW,0.784,0.691,2556.5,0.901,5.82,8.57,1.473,1D,0.6,0.6,2000,0.8,5,8,1.4
WETSIA,0.695,0.638,2458.83,0.846,4.46,5.38,1.206,2D,0.6,0.6,2000,0.8,4,5.3,1.2
WETSUK,2.221,0.175,15.5,0.075,3.23,4.43,1.372,1D,2,0.1,0,0,3,4.4,1.3
WETVUN,1.457,0.184,1.8,0.085,2.03,4.06,2.000,1D,1.4,0.1,0,0,1.8,4,2
WEVJEP,1.341,0.501,355.72,0.327,3.39,5.53,1.631,1D,1.3,0.5,300,0.3,3.3,5.3,1.6
WEVVIF,1.081,0.529,241.06,0.417,3.74,4.99,1.334,1D,1,0.5,200,0.4,3.6,4.8,1.3
WEVYEE,1.151,0.614,655.76,0.362,3.41,8.22,2.411,2D,1.1,0.6,600,0.3,3.3,8,2
WEVZAB,1.399,0.213,20.09,0.106,3.13,4.43,1.415,1D,1.3,0.2,0,0.1,3,4.4,1.4
WEVZIJ,1.13,0.411,519.04,0.293,4.48,5.28,1.179,1D,1.1,0.4,500,0.2,4,5,1.1
WEWDEI,1.794,0.143,3.67,0.057,1.28,4.18,3.266,1D,1.6,0.1,0,0,1,4,3
WEWDIM,1.454,0.538,999.63,0.357,4.49,6.07,1.352,1D,1.4,0.5,800,0.3,4,6,1.3
WEWHAI,1.4,0.161,8.84,0.097,3.03,4.15,1.370,1D,1.4,0.1,0,0,3,4,1.3
WEWYEE,1.166,0.249,83.18,0.167,3.5,4.55,1.300,1D,1.1,0.2,50,0.1,3.3,4.5,1.3
WEWZAB,0.737,0.596,2141.88,0.733,7.64,9.26,1.212,1D,0.6,0.5,2000,0.6,6,8,1.2
WEXKES,1.278,0.378,453.18,0.235,3.36,6.72,2.000,1D,1.2,0.3,400,0.2,3.3,6.5,2
WEXRIC,2.919,0.403,311.56,0.141,3.84,7.68,2.000,1D,2,0.4,300,0.1,3.8,7,2
WEXVUQ,1.669,0.205,99.71,0.102,3.24,4.9,1.512,1D,1.6,0.2,50,0.1,3,4.8,1.5
WEXWAA,0.894,0.559,1462.69,0.505,4.61,7.69,1.668,3D,0.8,0.5,1250,0.5,4.5,7,1.6
WEXWEE,0.892,0.561,1468.84,0.512,4.59,7.66,1.669,3D,0.8,0.5,1250,0.5,4.5,7,1.6
WEXYOO,0.69,0.731,1800.01,0.895,7.45,8.23,1.105,1D,0.6,0.7,1500,0.8,6,8,1.1
WEYCAH,1.109,0.336,138.72,0.222,2.86,4.89,1.710,1D,1.1,0.3,100,0.2,2.6,4.8,1.6
WEYCEL,1.252,0.154,32.13,0.078,1.19,4.78,4.017,3D,1.2,0.1,0,0,1,4.6,4
WEYMAR,1.309,0.118,1.89,0.065,1.44,4.08,2.833,1D,1.3,0.1,0,0,1.4,4,2.5
WEYPUM,1.388,0.240,62.09,0.129,1.21,4.85,4.008,3D,1.3,0.2,50,0.1,1,4.8,4
WEYPUN,1.097,0.555,232.07,0.432,3.53,4.58,1.297,1D,1,0.5,200,0.4,3.3,4.5,1.2
WEYQAU11,1.154,0.508,39.66,0.373,3.4,4.3,1.265,1D,1.1,0.5,0,0.3,3.3,4.3,1.2
WEYQAU12,1.186,0.492,17.92,0.351,3.27,4.25,1.300,1D,1.1,0.4,0,0.3,3,4.2,1.2
WEYQAU13,1.226,0.471,11.34,0.323,3.07,4.22,1.375,2D,1.2,0.4,0,0.3,3,4.2,1.3
WEYQAU14,1.251,0.454,9.95,0.309,2.99,4.23,1.415,1D,1.2,0.4,0,0.3,2.6,4.2,1.4
WEYQAU15,1.27,0.442,4.96,0.288,2.9,4.23,1.459,2D,1.2,0.4,0,0.2,2.6,4.2,1.4
WEYQEY,1.078,0.489,60.9,0.413,2.98,4.5,1.510,2D,1,0.4,50,0.4,2.6,4.5,1.5
WEZMOF,1.288,0.357,390.64,0.245,3.68,5.38,1.462,1D,1.2,0.3,300,0.2,3.6,5.3,1.4
WEZMUL,1.484,0.243,27,0.141,1.6,4.52,2.825,1D,1.4,0.2,0,0.1,1.4,4.5,2.5
WIBNOL,0.842,0.631,2304.8,0.732,5.63,8.52,1.513,2D,0.8,0.6,2000,0.6,5,8,1.5
WICCOC,1.066,0.626,1278.74,0.6,4.88,6.33,1.297,1D,1,0.6,1250,0.6,4.5,6,1.2
WICNOM,1.62,0.246,3.15,0.127,1.66,4.2,2.530,1D,1.6,0.2,0,0.1,1.4,4.2,2.5
WICNUS,1.633,0.250,4.06,0.129,1.82,4.2,2.308,2D,1.6,0.2,0,0.1,1.8,4.2,2
WICQAB,1.594,0.261,26.78,0.136,1.73,4.37,2.526,1D,1.5,0.2,0,0.1,1.4,4.3,2.5
WICYIT,1.415,0.200,9.61,0.083,1.26,4.12,3.270,3D,1.4,0.2,0,0,1,4,3
WIDLEC,0.834,0.583,1416.15,0.619,6.07,8.09,1.333,1D,0.8,0.5,1250,0.6,6,8,1.3
WIDVUA,1.515,0.343,133.33,0.216,4.08,4.61,1.130,1D,1.5,0.3,100,0.2,4,4.6,1.1
WIDZIU,1.373,0.321,147.19,0.168,1.2,4.82,4.017,3D,1.3,0.3,100,0.1,1,4.8,4
WIDZUG,1.38,0.309,124.29,0.168,3.2,5.02,1.569,1D,1.3,0.3,100,0.1,3,5,1.5
WIFBAQ,1.272,0.351,352.56,0.224,5.07,5.85,1.154,1D,1.2,0.3,300,0.2,5,5.6,1.1
WIFBIX,1.141,0.419,494.9,0.325,3.72,5.26,1.414,2D,1.1,0.4,400,0.3,3.6,5,1.4
WIFDAQ,1.525,0.443,653.43,0.265,6.02,8.32,1.382,1D,1.5,0.4,600,0.2,6,8,1.3
WIFGOJ,1.993,0.301,231.52,0.138,2.33,9.94,4.266,2D,1.8,0.3,200,0.1,2.2,8,4
WIFSAI01,1.284,0.362,156.19,0.207,1.99,4.6,2.312,1D,1.2,0.3,150,0.2,1.8,4.6,2
WIFSAI,1.302,0.385,97.57,0.216,2.97,4.5,1.515,2D,1.3,0.3,50,0.2,2.6,4.5,1.5
WIGGUR,1.112,0.432,95.11,0.284,3.41,4.55,1.334,1D,1.1,0.4,50,0.2,3.3,4.5,1.3
WIGHAY,1.146,0.391,39.18,0.24,2.89,4.37,1.512,1D,1.1,0.3,0,0.2,2.6,4.3,1.5
WIHLUW,1.104,0.344,233.69,0.297,3.26,4.76,1.460,1D,1.1,0.3,200,0.2,3,4.6,1.4
WIHWER,1.378,0.275,3.11,0.133,2.73,4.13,1.513,1D,1.3,0.2,0,0.1,2.6,4,1.5
WIJCUQ,1.361,0.200,157.99,0.109,3.89,5.19,1.334,1D,1.3,0.1,150,0.1,3.8,5,1.3
WIKGED,0.423,0.841,4150.85,2.002,9.95,10.83,1.088,1D,0,0.8,3000,2,8,10,1
WIKKOR,1.012,0.453,930.38,0.378,6.06,7,1.155,1D,1,0.4,800,0.3,6,7,1.1
WIKLAF,1.895,0.484,393.21,0.249,3.71,5.09,1.372,1D,1.8,0.4,300,0.2,3.6,5,1.3
WIKLOT,1.834,0.477,604.83,0.224,6.09,6.76,1.110,1D,1.8,0.4,600,0.2,6,6.5,1.1
WIKZAT,1.252,0.362,89.1,0.211,2.3,4.61,2.004,1D,1.2,0.3,50,0.2,2.2,4.6,2
WILFAZ,1.637,0.346,27.57,0.167,3.53,4.47,1.266,1D,1.6,0.3,0,0.1,3.3,4.4,1.2
WILFED,1.405,0.461,131.8,0.297,3.26,4.61,1.414,3D,1.4,0.4,100,0.2,3,4.6,1.4
WILFIH,1.696,0.284,76.63,0.162,2.75,4.49,1.633,2D,1.6,0.2,50,0.1,2.6,4.4,1.6
WILGEE,1.667,0.278,44.73,0.133,3.31,4.54,1.372,1D,1.6,0.2,0,0.1,3.3,4.5,1.3
WILGII,1.34,0.428,172.02,0.265,3.66,4.75,1.298,1D,1.3,0.4,150,0.2,3.6,4.6,1.2
WILHIK,1.343,0.351,43.76,0.186,3.68,4.34,1.179,2D,1.3,0.3,0,0.1,3.6,4.3,1.1
WILLOT,1.33,0.137,59.2,0.079,1.43,4.68,3.273,1D,1.3,0.1,50,0,1.4,4.6,3
WILNIP01,1.293,0.196,0.81,0.107,2.05,4.11,2.005,1D,1.2,0.1,0,0.1,1.8,4,2
WILNIP,1.262,0.214,4.52,0.121,2.11,4.22,2.000,1D,1.2,0.2,0,0.1,1.8,4.2,2
WILPOX,1.755,0.209,45.94,0.079,3.26,4.61,1.414,1D,1.6,0.2,0,0,3,4.6,1.4
WILROB,1.535,0.202,42.59,0.128,2.62,4.47,1.706,1D,1.5,0.2,0,0.1,2.6,4.4,1.6
WILSIV,1.352,0.330,0.29,0.225,2.97,4.08,1.374,1D,1.3,0.3,0,0.2,2.6,4,1.3
WIMHUW,1.534,0.404,915.36,0.323,5.7,6.1,1.070,1D,1.5,0.4,800,0.3,5,6,1
WIMJIN,1.07,0.392,441.31,0.288,2.38,5.49,2.307,1D,1,0.3,400,0.2,2.2,5.3,2
WIMMIP,1.863,0.221,62.72,0.098,2.07,4.78,2.309,2D,1.8,0.2,50,0,1.8,4.6,2
WIMNUD,1.697,0.194,54.7,0.092,1.73,4.88,2.821,3D,1.6,0.1,50,0,1.4,4.8,2.5
WIMRUG,0.9,0.408,218.32,0.36,2.95,4.46,1.512,1D,0.8,0.4,200,0.3,2.6,4.4,1.5
WIMSAN,0.897,0.406,337.03,0.357,3.03,4.76,1.571,1D,0.8,0.4,300,0.3,3,4.6,1.5
WIMWEW,1.146,0.487,138.01,0.362,3.42,4.7,1.374,1D,1.1,0.4,100,0.3,3.3,4.6,1.3
WIMWIA,1.188,0.490,233.62,0.344,3.49,4.53,1.298,1D,1.1,0.4,200,0.3,3.3,4.5,1.2
WIMWOG,1.218,0.413,335.24,0.299,3.63,5.13,1.413,1D,1.2,0.4,300,0.2,3.6,5,1.4
WIMWUM,1.455,0.422,103.07,0.238,3.27,4.78,1.462,3D,1.4,0.4,100,0.2,3,4.6,1.4
WIMXAT,1.068,0.502,496,0.451,3.63,4.98,1.372,1D,1,0.5,400,0.4,3.6,4.8,1.3
WIMXEX,1.133,0.456,429.31,0.375,3.64,4.99,1.371,1D,1.1,0.4,400,0.3,3.6,4.8,1.3
WIMXIB,1.16,0.476,487.37,0.381,3.67,5.19,1.414,3D,1.1,0.4,400,0.3,3.6,5,1.4
WIMXOH,1.192,0.490,529.84,0.372,3.59,5.25,1.462,2D,1.1,0.4,500,0.3,3.3,5,1.4
WIMYEZ,1.153,0.387,637.85,0.264,4.55,5.69,1.251,1D,1.1,0.3,600,0.2,4.5,5.6,1.2
WIMYOJ,1.065,0.433,845.44,0.326,5.48,6.39,1.166,1D,1,0.4,800,0.3,5,6,1.1
WIMYUP,1.118,0.412,703.07,0.289,4.86,5.73,1.179,1D,1.1,0.4,600,0.2,4.5,5.6,1.1
WIMZEA,1.161,0.389,641.51,0.26,4.37,5.83,1.334,1D,1.1,0.3,600,0.2,4,5.6,1.3
WINBED,1.21,0.359,475.15,0.212,4.28,5.42,1.266,1D,1.2,0.3,400,0.2,4,5.3,1.2
WINBUS,1.384,0.519,1087.35,0.366,7.42,8.57,1.155,1D,1.3,0.5,1000,0.3,6,8,1.1
WINCAA01,1.169,0.377,541.79,0.253,4.04,5.38,1.332,1D,1.1,0.3,500,0.2,4,5.3,1.3
WINGEF,0.935,0.492,780.23,0.503,3.52,6.46,1.835,2D,0.8,0.4,600,0.5,3.3,6,1.8
WINGUV,0.704,0.679,2341.36,0.86,5.37,6.88,1.281,1D,0.6,0.6,2000,0.8,5,6.5,1.2
WINXOH,0.777,0.529,1625.28,0.714,4.05,6.91,1.706,1D,0.6,0.5,1500,0.6,4,6.5,1.6
WIPCEF,1.192,0.592,875.71,0.439,5.62,6.49,1.155,1D,1.1,0.5,800,0.4,5,6,1.1
WIPCIJ,0.4,0.861,7098.8,2.05,7.16,8.14,1.137,1D,0,0.8,3000,2,6,8,1.1
WIPDAB,1.082,0.347,520.74,0.262,3.63,7.05,1.942,1D,1,0.3,500,0.2,3.6,7,1.8
WIPDUW,1.103,0.572,1102.33,0.475,8.96,10.46,1.167,1D,1.1,0.5,1000,0.4,8,10,1.1
WIPFIM,0.992,0.430,665.19,0.361,3.47,8.19,2.360,1D,0.8,0.4,600,0.3,3.3,8,2
WIPNEO01,0.838,0.527,1595.48,0.626,8.32,8.98,1.079,1D,0.8,0.5,1500,0.6,8,8,1
WIPPES,1.065,0.560,1128.84,0.44,5.06,6.24,1.233,1D,1,0.5,1000,0.4,5,6,1.2
WIPQAP,1.297,0.271,154.46,0.151,1.5,4.9,3.267,1D,1.2,0.2,150,0.1,1.4,4.8,3
WIQBAB,1.066,0.355,306.12,0.237,2.13,6.45,3.028,2D,1,0.3,300,0.2,1.8,6,3
WIQSAS01,0.664,0.645,2285.89,0.838,6.26,8.46,1.351,1D,0.6,0.6,2000,0.8,6,8,1.3
WIQYAY,1.225,0.222,103.02,0.137,1.98,5.02,2.535,1D,1.2,0.2,100,0.1,1.8,5,2.5
WIRBUW,0.904,0.477,24.95,0.439,3.42,4.23,1.237,1D,0.8,0.4,0,0.4,3.3,4.2,1.2
WIRCAD,1.431,0.265,52.05,0.135,2.26,4.53,2.004,1D,1.4,0.2,50,0.1,2.2,4.5,2
WIRDIN,0.447,0.793,2924.48,1.749,12.52,14.31,1.143,1D,0,0.7,2000,1.5,10,10,1.1
WIRJIS,1.427,0.149,143.44,0.09,4.09,4.72,1.154,1D,1.4,0.1,100,0,4,4.6,1.1
WIRLIU,1.659,0.280,139.31,0.17,3.28,4.79,1.460,2D,1.6,0.2,100,0.1,3,4.6,1.4
WISJUF,1.196,0.310,267.05,0.201,2.91,5.2,1.787,2D,1.1,0.3,200,0.2,2.6,5,1.6
WISSUP,1.275,0.548,116.89,0.314,3.67,4.33,1.180,1D,1.2,0.5,100,0.3,3.6,4.3,1.1
WISTID,1.57,0.346,236.46,0.174,3.42,5.17,1.512,1D,1.5,0.3,200,0.1,3.3,5,1.5
WISVEB,1.103,0.495,767.51,0.389,3.49,6.78,1.943,2D,1.1,0.4,600,0.3,3.3,6.5,1.8
WISXAA,1.658,0.444,347.08,0.27,4,5.06,1.265,1D,1.6,0.4,300,0.2,4,5,1.2
WISZOP,1.676,0.091,2.93,0.031,1.08,4.32,4.000,3D,1.6,0.0,0,0,1,4.3,4
WITBOS,3.075,0.144,32.53,0.039,1.31,5.22,3.985,1D,2,0.1,0,0,1,5,3
WITFIQ,1.04,0.468,825.48,0.361,6.9,7.58,1.099,1D,1,0.4,800,0.3,6,7,1
WITFOU,1.424,0.104,28.77,0.049,1.79,4.53,2.531,1D,1.4,0.1,0,0,1.4,4.5,2.5
WITHIS,1.338,0.300,106.27,0.186,2.64,4.72,1.788,2D,1.3,0.2,100,0.1,2.6,4.6,1.6
WITHOZ,1.796,0.219,55.73,0.122,1.24,4.96,4.000,3D,1.6,0.2,50,0.1,1,4.8,4
WITPOG,1.329,0.234,71.36,0.12,3.39,4.4,1.298,1D,1.3,0.2,50,0.1,3.3,4.4,1.2
WITPUM,1.254,0.313,295.66,0.185,3.92,5.72,1.459,1D,1.2,0.3,200,0.1,3.8,5.6,1.4
WITQEY,1.502,0.117,43.44,0.062,3.07,4.81,1.567,1D,1.5,0.1,0,0,3,4.8,1.5
WITRAU,1.204,0.291,103.34,0.169,1.9,4.82,2.537,1D,1.2,0.2,100,0.1,1.8,4.8,2.5
WITVAZ,0.951,0.450,566.09,0.395,3.98,5.46,1.372,1D,0.8,0.4,500,0.3,3.8,5.3,1.3
WITVED,0.431,0.808,4171.74,1.726,11.43,13.45,1.177,1D,0,0.8,3000,1.5,10,10,1.1
WITVON,0.572,0.715,3277.8,1.137,7.26,8.71,1.200,1D,0,0.7,3000,1,6,8,1.1
WITYOQ,1.005,0.417,583.32,0.319,3.9,6.01,1.541,1D,1,0.4,500,0.3,3.8,6,1.5
WIVFAK,1.483,0.108,3.42,0.055,2.92,4.13,1.414,1D,1.4,0.1,0,0,2.6,4,1.4
WIVHIS,1.079,0.263,29.64,0.169,2.3,4.34,1.887,1D,1,0.2,0,0.1,2.2,4.3,1.8
WIVJUI,1.576,0.374,281.34,0.218,3.79,5.06,1.335,1D,1.5,0.3,200,0.2,3.6,5,1.3
WIVKET,1.777,0.505,440.02,0.264,3.5,4.95,1.414,2D,1.6,0.5,400,0.2,3.3,4.8,1.4
WIVWAB,1.264,0.309,12.18,0.141,2.46,4.4,1.789,2D,1.2,0.3,0,0.1,2.2,4.4,1.6
WIVWOP,1.464,0.410,492.78,0.254,4.58,6.19,1.352,1D,1.4,0.4,400,0.2,4.5,6,1.3
WIWJES,1.385,0.283,22.63,0.13,2.17,4.34,2.000,1D,1.3,0.2,0,0.1,1.8,4.3,2
WIWKET,1.064,0.370,132.22,0.283,4.11,4.56,1.109,1D,1,0.3,100,0.2,4,4.5,1.1
WIWKOE,0.961,0.378,745.07,0.322,4.6,6.96,1.513,1D,0.8,0.3,600,0.3,4.5,6.5,1.5
WIWKUK,0.515,0.714,3349.05,1.289,8.37,10.27,1.227,1D,0,0.7,3000,1,8,10,1.2
WIWQID,1.138,0.539,971.83,0.448,4.64,7.58,1.634,1D,1.1,0.5,800,0.4,4.5,7,1.6
WIWXUX,1.369,0.261,59.27,0.161,2.5,4.46,1.784,1D,1.3,0.2,50,0.1,2.2,4.4,1.6
WIYCEP,1.45,0.173,7.14,0.087,1.29,4.22,3.271,1D,1.4,0.1,0,0,1,4.2,3
WIYGIX,1.92,0.158,107.89,0.062,2.14,6.05,2.827,1D,1.8,0.1,100,0,1.8,6,2.5
WIYKAR,1.404,0.530,1162.18,0.328,6.02,6.62,1.100,1D,1.4,0.5,1000,0.3,6,6.5,1
WIYKEV,3.019,0.269,58.04,0.06,3.5,4.54,1.297,1D,2,0.2,50,0,3.3,4.5,1.2
WIYVOR,1.575,0.302,64.52,0.143,3.56,4.62,1.298,1D,1.5,0.3,50,0.1,3.3,4.6,1.2
WIYXUZ,1.331,0.158,17.56,0.073,1.13,4.51,3.991,3D,1.3,0.1,0,0,1,4.5,3
WIZDAL,1.172,0.697,1195.61,0.517,10.84,11.59,1.069,1D,1.1,0.6,1000,0.5,10,10,1
WIZDEP,1.29,0.675,1049.57,0.448,10.38,11.25,1.084,1D,1.2,0.6,1000,0.4,10,10,1
WIZKOH,1.055,0.492,275.12,0.376,3.48,5.93,1.704,2D,1,0.4,200,0.3,3.3,5.6,1.6
WIZPEC,1.504,0.163,61.42,0.083,1.68,4.74,2.821,1D,1.5,0.1,50,0,1.4,4.6,2.5
WIZVOT,1.438,0.133,42.46,0.078,3.28,4.5,1.372,1D,1.4,0.1,0,0,3,4.5,1.3
WOBBAS,1.865,0.381,181.38,0.183,3.11,5.56,1.788,1D,1.8,0.3,150,0.1,3,5.3,1.6
WOBCUN,0.745,0.583,1959.14,0.676,6.59,7.86,1.193,1D,0.6,0.5,1500,0.6,6,7,1.1
WOBDIC,2.078,0.301,160.98,0.151,3.53,4.99,1.414,1D,2,0.3,150,0.1,3.3,4.8,1.4
WOBFAW,0.965,0.555,770.19,0.602,3.71,5.42,1.461,1D,0.8,0.5,600,0.6,3.6,5.3,1.4
WOBFOK,1.728,0.248,8.11,0.134,3.16,4.21,1.332,2D,1.6,0.2,0,0.1,3,4.2,1.3
WOBHAW,0.443,0.762,4650.21,1.632,7.63,9.53,1.249,2D,0,0.7,3000,1.5,6,8,1.2
WOBHEB01,1.228,0.689,1140.96,0.484,10.47,11.25,1.074,1D,1.2,0.6,1000,0.4,10,10,1
WOBHEB,1.219,0.708,1146.85,0.496,10.86,11.66,1.074,1D,1.2,0.7,1000,0.4,10,10,1
WOBHIF01,1.251,0.718,1120.34,0.485,10.59,11.4,1.076,1D,1.2,0.7,1000,0.4,10,10,1
WOBHIF02,1.221,0.710,1150.74,0.496,10.72,11.54,1.076,1D,1.2,0.7,1000,0.4,10,10,1
WOBHIF03,1.227,0.712,1158,0.494,10.66,11.47,1.076,1D,1.2,0.7,1000,0.4,10,10,1
WOBHIF,1.263,0.718,1112.24,0.479,10.65,11.41,1.071,1D,1.2,0.7,1000,0.4,10,10,1
WOBHOL,1.215,0.717,1159.92,0.502,10.74,11.58,1.078,1D,1.2,0.7,1000,0.5,10,10,1
WOBHOM,1.182,0.463,236.25,0.333,3.2,5.02,1.569,1D,1.1,0.4,200,0.3,3,5,1.5
WOBJAZ,1.757,0.306,52.19,0.172,3.31,4.54,1.372,2D,1.6,0.3,50,0.1,3.3,4.5,1.3
WOBYIX,1.28,0.279,163.27,0.16,1.51,4.94,3.272,1D,1.2,0.2,150,0.1,1.4,4.8,3
WOCBUL01,1.386,0.159,0.14,0.074,1.23,4.02,3.268,2D,1.3,0.1,0,0,1,4,3
WOCJII,1.292,0.411,763.92,0.325,4.97,5.93,1.193,1D,1.2,0.4,600,0.3,4.5,5.6,1.1
WOCKAB,1.481,0.298,135.49,0.216,3.07,5.01,1.632,1D,1.4,0.2,100,0.2,3,5,1.6
WOCVAO,1.333,0.323,265.2,0.18,1.82,5.15,2.830,1D,1.3,0.3,200,0.1,1.8,5,2.5
WOCVES,1.392,0.318,248.3,0.165,1.33,5.3,3.985,1D,1.3,0.3,200,0.1,1,5.3,3
WOCWET,0.711,0.593,832.98,0.811,20.88,21.77,1.043,1D,0.6,0.5,800,0.8,10,10,1
WOCXIW,1.344,0.244,50.61,0.118,2.97,4.85,1.633,1D,1.3,0.2,50,0.1,2.6,4.8,1.6
WOCXOC,1.361,0.223,52.66,0.104,3.07,4.65,1.515,1D,1.3,0.2,50,0.1,3,4.6,1.5
WOCZOD,1.081,0.377,502.5,0.325,3.04,6.49,2.135,1D,1,0.3,500,0.3,3,6,2
WODCEY,1.322,0.248,42.1,0.123,1.4,4.56,3.257,1D,1.3,0.2,0,0.1,1.4,4.5,3
WODGAX,1.212,0.302,118.05,0.181,1.4,4.57,3.264,1D,1.2,0.3,100,0.1,1.4,4.5,3
WODPUC,1.578,0.311,210.65,0.171,2.67,5.04,1.888,1D,1.5,0.3,200,0.1,2.6,5,1.8
WODROY,1.648,0.312,174.18,0.147,2.84,4.84,1.704,1D,1.6,0.3,150,0.1,2.6,4.8,1.6
WODWUJ,1.589,0.306,198.79,0.162,2.48,4.96,2.000,1D,1.5,0.3,150,0.1,2.2,4.8,2
WODXAQ,1.575,0.309,205.76,0.165,2.49,4.99,2.004,1D,1.5,0.3,200,0.1,2.2,4.8,2
WODXEU,1.535,0.298,121.04,0.174,3.11,4.87,1.566,1D,1.5,0.2,100,0.1,3,4.8,1.5
WOFSUH,1.905,0.213,90.13,0.099,3.64,4.61,1.266,1D,1.8,0.2,50,0,3.6,4.6,1.2
WOGHEG,1.241,0.388,120.01,0.234,2.78,4.74,1.705,1D,1.2,0.3,100,0.2,2.6,4.6,1.6
WOGJOT,0.295,0.918,5754,3.021,12.23,12.79,1.046,1D,0,0.9,3000,2,10,10,1
WOGLIP,1.544,0.258,11.82,0.134,2.81,4.25,1.512,1D,1.5,0.2,0,0.1,2.6,4.2,1.5
WOHBOL,1.354,0.310,420.67,0.178,4.91,5.35,1.090,1D,1.3,0.3,400,0.1,4.5,5.3,1
WOHPUG,1.667,0.172,105.61,0.084,1.6,5.71,3.569,2D,1.6,0.1,100,0,1.4,5.6,3
