,Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
10969,WEFTOT,2017,1.3,0.113674,20.05,0,0.059,0,1.13,4.52,4,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.5-4.6),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEFTOT
10970,WEGGIB,2017,1.016,0.453077,922.22,898.67,0.381,0.376,6.1,6.7,1.098360656,1D,[1.0 - 1.1),[0.4 - 0.5),[800 - 1000),[800-1000),[0.3 - 0.4),[0.3-0.4),[6.0-8.0),[6.5-7.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEGGIB
10971,WEGJEA,2017,1.26,0.292552,207.91,0,0.188,0,2.92,4.76,1.630136986,1D,[1.2 - 1.3),[0.2 - 0.3),[200 - 300),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEGJEA
10972,WEHGEY,2017,0.839,0.584184,1606.64,1583.42,0.625,0.625,5.03,6.36,1.264413519,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[5.0-6.0),[6.0-6.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEHGEY
10973,WEHRAF,2017,1.275,0.177518,32.29,0,0.1,0,2.61,4.26,1.632183908,1D,[1.2 - 1.3),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEHRAF
10974,WEHREJ,2017,1.244,0.197834,49.85,0,0.12,0,3.01,4.72,1.568106312,1D,[1.2 - 1.3),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.6-4.8),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEHREJ
10975,WEMVUI,2017,1.265,0.204404,118.59,0,0.111,0,2.87,5.74,2,1D,[1.2 - 1.3),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[5.6-6.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEMVUI
10976,WENXEV,2017,1.902,0.447674,166.33,155.93,0.194,0.186,3.5,4.8,1.371428571,2D,[1.8 - 2.0),[0.4 - 0.5),[150 - 200),[100-200),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[4.8-5.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WENXEV
10977,WEPRER,2017,1.192,0.332878,440.15,435.24,0.202,0.2,4.33,5.62,1.297921478,1D,[1.1 - 1.2),[0.3 - 0.4),[400 - 500),[400-500),[0.2 - 0.3),[0.2-0.3),[4.0-4.5),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEPRER
10978,XAMWEQ,2017,1.384,0.190303,15.72,0,0.085,0,1.1,4.41,4.009090909,2D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.4-4.5),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAMWEQ
10979,XAPFUS,2017,1.761,0.367311,336.78,0,0.198,0,2.96,7.13,2.408783784,1D,[1.6 - 1.8),[0.3 - 0.4),[300 - 400),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[7.0-8.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAPFUS
10980,XAPGAZ,2017,1.481,0.604217,1295.2,1289.64,0.434,0.433,6.89,8.89,1.290275762,2D,[1.4 - 1.5),[0.6 - 0.7),[1250 - 1500),[1000-1500),[0.4 - 0.5),[0.4-0.5),[6.0-8.0),[8.0-10.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAPGAZ
10981,XARCEB,2017,1.317,0.368098,573.78,587.42,0.236,0.24,7.16,7.52,1.05027933,1D,[1.3 - 1.4),[0.3 - 0.4),[500 - 600),[500-600),[0.2 - 0.3),[0.2-0.3),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XARCEB
10982,XARNOW,2017,0.91,0.626719,1341.44,1313,0.627,0.619,6.99,7.68,1.098712446,1D,[0.8 - 1.0),[0.6 - 0.7),[1250 - 1500),[1000-1500),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XARNOW
10983,XARPAK,2017,1.07,0.495988,857.75,856.18,0.367,0.356,4.51,5.7,1.263858093,1D,[1.0 - 1.1),[0.4 - 0.5),[800 - 1000),[800-1000),[0.3 - 0.4),[0.3-0.4),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XARPAK
10984,XASBUR,2017,1.019,0.456364,56.3,56.71,0.386,0.377,3.46,4.37,1.26300578,1D,[1.0 - 1.1),[0.4 - 0.5),[50 - 100),[50-100),[0.3 - 0.4),[0.3-0.4),[3.3-3.6),[4.3-4.4),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XASBUR
10985,XASPIT,2017,1.108,0.540338,412.96,397.62,0.42,0.407,3.87,4.78,1.235142119,2D,[1.1 - 1.2),[0.5 - 0.6),[400 - 500),[300-400),[0.4 - 0.5),[0.4-0.5),[3.8-4.0),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XASPIT
10986,XASSUI,2017,1.182,0.345506,225.12,0,0.207,0,2,5.06,2.53,3D,[1.1 - 1.2),[0.3 - 0.4),[200 - 300),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[1.6-2.2),[5.0-5.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XASSUI
10987,XASVEV01,2017,1.148,0.217962,11.98,0,0.107,0,2.37,4.25,1.793248945,1D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XASVEV01
10988,XASVEV,2017,1.089,0.240606,34.47,0,0.12,0,2.51,4.48,1.784860558,1D,[1.0 - 1.1),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.4-4.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XASVEV
10989,XASXOH,2017,1.367,0.297443,58.2,0,0.159,0,2.89,4.72,1.633217993,1D,[1.3 - 1.4),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XASXOH
10990,XASYOI,2017,1.169,0.324177,216.93,152.04,0.226,0.169,3.4,4.81,1.414705882,1D,[1.1 - 1.2),[0.3 - 0.4),[200 - 300),[100-200),[0.2 - 0.3),[0.1-0.2),[3.3-3.6),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XASYOI
10991,XATLUC,2017,1.33,0.337004,242.19,0,0.196,0,3.07,5.79,1.885993485,3D,[1.3 - 1.4),[0.3 - 0.4),[200 - 300),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[5.6-6.0),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XATLUC
10992,XAVZEC,2017,1.559,0.531853,590.78,579.37,0.287,0.284,4.67,5.84,1.250535332,1D,[1.5 - 1.6),[0.5 - 0.6),[500 - 600),[500-600),[0.2 - 0.3),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAVZEC
10993,XAWZUT,2017,2.239,0.273354,53.7,0,0.119,0,2.65,4.51,1.701886792,1D,[2.0 - 7.0],[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.5-4.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAWZUT
10994,XAYMES,2017,1.23,0.377335,493.6,505.97,0.244,0.242,4.87,5.4,1.108829569,1D,[1.2 - 1.3),[0.3 - 0.4),[400 - 500),[500-600),[0.2 - 0.3),[0.2-0.3),[4.5-5.0),[5.3-5.6),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAYMES
10995,XAYVIF,2017,1.346,0.12587,37.91,0,0.065,0,2.5,5,2,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[5.0-5.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAYVIF
10996,XAZDAG,2017,1.388,0.258036,99.94,0,0.153,0,2.92,4.76,1.630136986,1D,[1.3 - 1.4),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAZDAG
10997,XEDXEM,2017,1.352,0.220952,0.19,0,0.117,0,2.99,4.1,1.371237458,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEDXEM
10998,XEFGEU01,2017,1.241,0.209776,14.43,0,0.129,0,1.97,4.54,2.304568528,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.5-4.6),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEFGEU01
10999,XEFHAU,2017,1.272,0.300126,49.2,0,0.17,0,2.41,4.54,1.883817427,1D,[1.2 - 1.3),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.5-4.6),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEFHAU
11000,XEGQOS,2017,1.095,0.505944,903.36,926.15,0.383,0.387,10.41,10.84,1.041306436,1D,[1.0 - 1.1),[0.5 - 0.6),[800 - 1000),[800-1000),[0.3 - 0.4),[0.3-0.4),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEGQOS
11001,XEGRAF,2017,1.446,0.170267,108.59,107.12,0.085,0.087,4.28,4.49,1.049065421,1D,[1.4 - 1.5),[0.1 - 0.2),[100 - 150),[100-200),[0.0 - 0.1),[0.01-0.1),[4.0-4.5),[4.4-4.5),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEGRAF
11002,XEGVOX,2017,1.555,0.259721,112.35,75.75,0.122,0.044,4.75,5.17,1.088421053,1D,[1.5 - 1.6),[0.2 - 0.3),[100 - 150),[50-100),[0.1 - 0.2),[0.01-0.1),[4.5-5.0),[5.0-5.3),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEGVOX
11003,XEKJOP,2017,1.311,0.138859,0.14,0.06,0.059,0.061,2,4,2,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.05-50),[0.0 - 0.1),[0.01-0.1),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEKJOP
11004,XEMNUB,2017,0.619,0.716659,3173.06,3141.57,1.048,1.056,6.73,10,1.485884101,2D,[0.6 - 0.8),[0.7 - 0.8),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.0-1.25),[6.0-8.0),[8.0-72.0],[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEMNUB
11005,XOVBIV01,2017,0.796,0.536894,1612.14,1601.43,0.58,0.583,4.15,9.03,2.175903614,3D,[0.6 - 0.8),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[4.0-4.5),[8.0-10.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XOVBIV01
11006,YAQJOS,2017,1.144,0.222727,33.19,0,0.126,0,1.74,4.4,2.528735632,1D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.4-4.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YAQJOS
11007,YARGAC01,2017,1.43,0.401261,250.73,59.63,0.245,0.061,3.42,5.58,1.631578947,1D,[1.4 - 1.5),[0.4 - 0.5),[200 - 300),[50-100),[0.2 - 0.3),[0.01-0.1),[3.3-3.6),[5.3-5.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YARGAC01
11008,YARGAC,2017,1.372,0.419827,282.73,278.48,0.272,0.262,3.38,5.76,1.704142012,1D,[1.3 - 1.4),[0.4 - 0.5),[200 - 300),[200-300),[0.2 - 0.3),[0.2-0.3),[3.3-3.6),[5.6-6.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YARGAC
11009,YARGOQ01,2017,1.699,0.272274,52.25,0,0.135,0,1.14,4.54,3.98245614,3D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YARGOQ01
11010,YARMIQ,2017,1.043,0.635902,1557.09,1581.32,0.587,0.585,5.7,6.39,1.121052632,1D,[1.0 - 1.1),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[5.0-6.0),[6.0-6.5),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YARMIQ
11011,YARZEZ,2017,0.959,0.494013,973.07,979.59,0.563,0.559,4.2,5.45,1.297619048,1D,[0.8 - 1.0),[0.4 - 0.5),[800 - 1000),[800-1000),[0.5 - 0.6),[0.5-0.6),[4.0-4.5),[5.3-5.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YARZEZ
11012,YATBED,2017,0.676,0.643799,2798.02,2798.87,0.965,0.966,6.32,7.9,1.25,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[6.0-8.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YATBED
11013,YATXUP,2017,1.716,0.161354,11.7,0,0.076,0,1.59,4.51,2.836477987,1D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.5-4.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YATXUP
11014,YAVYAW02,2017,1.585,0.059377,0.1,0,0.022,0,1.26,4.11,3.261904762,3D,[1.5 - 1.6),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YAVYAW02
11015,YAXYAA,2017,3.435,0.101105,3.09,0,0.028,0,2.96,4.33,1.462837838,1D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.3-4.4),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YAXYAA
11016,YAZPEX,2017,1.06,0.265347,167.88,0,0.196,0,2.87,5.42,1.888501742,2D,[1.0 - 1.1),[0.2 - 0.3),[150 - 200),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[5.3-5.6),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YAZPEX
11017,YECXOW,2017,0.849,0.55576,978.01,953.65,0.618,0.613,14.89,15.58,1.046339825,2D,[0.8 - 1.0),[0.5 - 0.6),[800 - 1000),[800-1000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YECXOW
11018,YEFVOX,2017,0.976,0.632801,1862.26,1850.29,0.62,0.615,4.96,7.13,1.4375,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[4.5-5.0),[7.0-8.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEFVOX
11019,YEFZER,2017,1.468,0.29273,163.47,0,0.156,0,2.13,6.03,2.830985915,1D,[1.4 - 1.5),[0.2 - 0.3),[150 - 200),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[6.0-6.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEFZER
11020,YEGLOO,2017,1.247,0.082262,0.34,0,0.035,0,1.25,4.07,3.256,3D,[1.2 - 1.3),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEGLOO
11021,YEGMIJ,2017,1.154,0.177295,180.78,0,0.106,0,3.09,5.27,1.705501618,1D,[1.1 - 1.2),[0.1 - 0.2),[150 - 200),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[5.0-5.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEGMIJ
11022,YEGMUV,2017,1.249,0.141372,108.97,0,0.102,0,1.97,5.58,2.83248731,1D,[1.2 - 1.3),[0.1 - 0.2),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[5.3-5.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEGMUV
11023,YEGQUZ,2017,1.317,0.222078,105.25,0,0.117,0,1.25,5,4,2D,[1.3 - 1.4),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[5.0-5.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEGQUZ
11024,YEKCUP,2017,2.118,0.22316,154.19,72.08,0.102,0.046,3.78,5.72,1.513227513,1D,[2.0 - 7.0],[0.2 - 0.3),[150 - 200),[50-100),[0.1 - 0.2),[0.01-0.1),[3.6-3.8),[5.6-6.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEKCUP
11025,YEKFUS,2017,2.008,0.488901,483.49,467.46,0.247,0.236,4.11,6,1.459854015,3D,[2.0 - 7.0],[0.4 - 0.5),[400 - 500),[400-500),[0.2 - 0.3),[0.2-0.3),[4.0-4.5),[6.0-6.5),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEKFUS
11026,YOLKUH01,2017,1.074,0.414951,779.57,769.3,0.312,0.311,8.5,9.39,1.104705882,1D,[1.0 - 1.1),[0.4 - 0.5),[600 - 800),[600-800),[0.3 - 0.4),[0.3-0.4),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YOLKUH01
11027,YOLKUH02,2017,1.06,0.4161,808.86,796.73,0.321,0.321,8.55,9.44,1.104093567,1D,[1.0 - 1.1),[0.4 - 0.5),[800 - 1000),[600-800),[0.3 - 0.4),[0.3-0.4),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YOLKUH02
11028,ZAKMAC,2017,2.5,0.071713,0.08,0.08,0.01,0.01,1.46,4.12,2.821917808,1D,[2.0 - 7.0],[0.0 - 0.1),[0 - 50),[0.05-50),[0.0 - 0.1),[0.01-0.1),[1.4-1.6),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAKMAC
11029,ZALZIY,2017,1.425,0.298442,280.45,282.85,0.162,0.164,4.13,5.51,1.334140436,1D,[1.4 - 1.5),[0.2 - 0.3),[200 - 300),[200-300),[0.1 - 0.2),[0.1-0.2),[4.0-4.5),[5.3-5.6),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZALZIY
11030,ZALZOE,2017,1.401,0.303515,286.35,283.66,0.172,0.167,3.77,5.8,1.538461538,1D,[1.4 - 1.5),[0.3 - 0.4),[200 - 300),[200-300),[0.1 - 0.2),[0.1-0.2),[3.6-3.8),[5.6-6.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZALZOE
11031,ZAPDEC,2017,1.098,0.544173,1870.17,1871.21,0.464,0.469,5.2,5.88,1.130769231,1D,[1.0 - 1.1),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.4 - 0.5),[0.4-0.5),[5.0-6.0),[5.6-6.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAPDEC
11032,ZAQSOC,2017,1.474,0.203717,13.63,0,0.095,0,1.29,4.2,3.255813953,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAQSOC
11033,ZATFOS,2017,1.616,0.222437,101.92,0,0.098,0,3.09,5.52,1.786407767,1D,[1.6 - 1.8),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[3.0-3.3),[5.3-5.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZATFOS
11034,ZATNEQ,2017,1.602,0.219685,10.18,0,0.102,0,2.58,4.21,1.631782946,1D,[1.6 - 1.8),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZATNEQ
11035,ZATNIU,2017,2.006,0.180649,23.78,0,0.06,0,2.28,4.57,2.004385965,1D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.5-4.6),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZATNIU
11036,ZATNOA,2017,1.993,0.175748,25.26,0,0.061,0,1.78,4.51,2.533707865,1D,[1.8 - 2.0),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.5-4.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZATNOA
11037,ZATXIE,2017,1.482,0.170523,79.9,0,0.096,0,2.69,5.06,1.881040892,1D,[1.4 - 1.5),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[5.0-5.3),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZATXIE
11038,ZATXUQ,2017,1.359,0.273446,183.86,0,0.182,0,2.83,5.34,1.886925795,1D,[1.3 - 1.4),[0.2 - 0.3),[150 - 200),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[5.3-5.6),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZATXUQ
11039,ZAWBUX,2017,1.427,0.260611,1.45,0,0.14,0,3.05,4.07,1.33442623,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.0-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAWBUX
11040,ZAWCAE,2017,1.413,0.271289,4.38,0,0.147,0,3.04,4.17,1.371710526,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.0-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAWCAE
11041,ZAWCEI,2017,1.427,0.263012,2.09,0,0.138,0,3.01,4.13,1.372093023,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.0-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAWCEI
11042,ZAWCIM,2017,1.375,0.286438,8.22,0,0.159,0,2.96,4.19,1.415540541,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAWCIM
11043,ZAWHOX,2017,1.144,0.15477,64.32,0,0.107,0,1.66,4.69,2.825301205,1D,[1.1 - 1.2),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAWHOX
11044,ZAXQOH,2017,1.26,0.346698,83.61,0,0.204,0,2.47,4.65,1.882591093,1D,[1.2 - 1.3),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.2-2.6),[4.6-4.8),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAXQOH
11045,ZAXRAU,2017,1.258,0.342097,75.9,0,0.2,0,2.44,4.6,1.885245902,1D,[1.2 - 1.3),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.2-2.6),[4.6-4.8),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAXRAU
11046,ZAYPOH,2017,1.266,0.367745,81.19,0,0.224,0,2.09,4.84,2.315789474,2D,[1.2 - 1.3),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[1.6-2.2),[4.8-5.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAYPOH
