Refcode,Year,Density (g/cm3),Helium void fraction (-),Surface area (m2/g,Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD,Porosity
AMUCAN,2011,1.377,0.211449,249.46,0.124,2.7,5.4,2,1D
AMULOK,2011,1.273,0.317479,53.32,0.175,2.81,4.41,1.56939501779359,1D
AMULUQ,2011,1.232,0.365901,109.22,0.205,2.91,4.97,1.70790378006873,1D
AMUMEB,2011,1.24,0.362123,103.16,0.203,2.93,4.78,1.63139931740614,1D
AMUPOP,2016,1.302,0.228292,23.1,0.125,3.51,4.44,1.26495726495727,1D
AMUQEG,2016,1.069,0.431816,494.4,0.321,2.39,6.36,2.66108786610879,1D
AMURUX,2016,1.254,0.238322,4.33,0.196,1.93,4.13,2.13989637305699,1D
AMUSOR,2011,1.233,0.273759,49.14,0.164,2.29,4.57,1.99563318777293,1D
AMUWIP,2011,0.55,0.847286,4526.06,1.444,8.41,11.29,1.34244946492271,1D
AMUXIR,2016,1.017,0.433694,733.9,0.338,3.99,5.32,1.33333333333333,1D
AMUYAK,2016,0.63,0.716032,2549.73,0.985,6.25,7,1.12,2D
AMUYEO,2016,0.712,0.591194,1006.82,0.782,3.13,4.9,1.56549520766773,2D
ANAGIH,2016,1.184,0.512146,627.51,0.353,4.62,5.85,1.26623376623377,1D
ANAGUS,2011,1.37,0.246502,33.9,0.116,2.73,4.47,1.63736263736264,1D
ANAHED,2011,1.873,0.314058,250.09,0.164,3.65,5.96,1.63287671232877,1D
ANAWIX,2016,1.603,0.409178,300.43,0.216,3.95,4.99,1.26329113924051,1D
ANAWOD,2016,1.438,0.575983,825.23,0.32,5.83,6.81,1.16809605488851,1D
ANEFIK,2016,0.775,0.719219,2993.26,0.939,6.46,7.97,1.23374613003096,1D
ANEHOS,2016,1.451,0.279185,69.47,0.135,2.79,4.56,1.63440860215054,2D
ANEQEQ,2011,0.496,0.813309,6115.86,1.594,6.06,7.48,1.23432343234323,1D
ANEQIU,2011,1.045,0.486274,299.74,0.374,2.8,5.27,1.88214285714286,2D
ANESOC,2011,1.601,0.154406,41.3,0.1,1.66,4.69,2.82530120481928,1D
ANIDAD,2011,1.377,0.371785,124.87,0.207,2.43,4.86,2,1D
ANODOX,2011,1.398,0.153851,43.15,0.074,1.66,4.68,2.81927710843373,1D
APAQAL,2016,1.172,0.189698,8.93,0.096,2.39,4.28,1.7907949790795,1D
APINAP01,2012,1.164,0.275845,94.06,0.168,1.11,4.46,4.01801801801802,3D
APINAP,2011,1.161,0.283692,134.34,0.175,1.17,4.67,3.99145299145299,3D
APIXED,2011,1.108,0.54204,731.62,0.435,3.54,6.18,1.74576271186441,2D
APIXUT,2011,1.309,0.336965,38.2,0.191,1.38,4.51,3.26811594202899,2D
APOJIZ,2011,1.582,0.26441,245.35,0.154,4.58,5.08,1.10917030567686,1D
APORUS,2004,0.937,0.506492,876.46,0.528,3.82,5.58,1.46073298429319,1D
APUSOV,2016,1.057,0.459695,528.75,0.345,3.56,5.39,1.51404494382022,1D
APUVIS,2016,1.12,0.420334,797.69,0.324,7.8,8.13,1.04230769230769,1D
APUZOB,2011,1.554,0.179397,8.21,0.101,2.1,4.21,2.0047619047619,1D
AQASIW,2016,1.173,0.299848,112.85,0.19,3.37,4.62,1.37091988130564,1D
AQASUG,2004,1.17,0.355955,478.92,0.221,5.74,6.19,1.07839721254355,1D
AQATAN,2004,1.559,0.222537,16.52,0.104,1.87,4.31,2.3048128342246,1D
AQAVOD01,2010,1.352,0.321497,4.63,0.206,2.99,4.23,1.41471571906355,1D
AQAVOD,2004,1.24,0.44604,175.57,0.322,3.51,4.96,1.41310541310541,2D
AQEKOX,2011,0.892,0.527533,738.99,0.563,3.98,4.92,1.23618090452261,1D
AQEKUD,2011,0.849,0.529284,952.09,0.597,4.03,4.97,1.23325062034739,2D
