Refcode,Volume (A3),Mass (g/mol),Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),Porosity
AFUJUG,32689.697,21192.156,1.076,0.588005,1303.51,0.489,5.26,7.55,1D
AFUMIY,62016.869,54763.603,1.466,0.293364,131.09,0.169,2.91,5.2,1D
AFUWEG,26929.628,16699.224,1.03,0.519077,1034.73,0.441,4.62,5.84,1D
AGABUF,35354.685,27412.416,1.288,0.548224,734.02,0.413,3.96,5.14,1D
AGADIW,33448.852,22151.04,1.1,0.287651,112.34,0.219,3.35,4.6,1D
AGADOC,34859.926,22223.04,1.059,0.346503,225.75,0.274,3.65,4.61,1D
AGADUI,35075.665,22079.04,1.045,0.352611,313.35,0.291,3.74,4.85,1D
AGAFAQ,35652.476,22223.04,1.035,0.358589,440.63,0.288,3.62,5.68,1D
AGAFEU,37045.953,22223.04,0.996,0.382617,989.98,0.331,4.81,5.56,1D
AGAFIY,38117.935,22223.04,0.968,0.398791,1074.99,0.349,4.28,5.28,1D
AGAMAZ,37022.612,28626.96,1.284,0.14089,81.52,0.09,2.89,5.18,1D
AGAREG,31303.411,30133.645,1.598,0.181105,2.45,0.083,1.3,4.23,2D
AGASOR01,30878.547,12236.952,0.658,0.723629,2364.35,0.955,4.68,7.49,1D
AGASOR,21641.672,8157.968,0.626,0.733337,3040.16,1.033,5.07,7.06,1D
AGASUX,25635.509,17915.936,1.161,0.266596,32.52,0.19,3.24,4.32,1D
AGAWOU,34760.917,21344.112,1.02,0.637889,1330.28,0.581,4.3,5.66,2D
AGAYAI,54840.211,21218.944,0.643,0.746794,3252.71,1.058,7.44,9.59,1D
AGEDIC,36662.797,28904.112,1.309,0.549617,716.62,0.332,5.19,5.54,1D
AGENPC11,33794.811,32233.382,1.584,0.330794,2.05,0.176,2.17,4.1,3D
AGEQEK,97344.861,45206.035,0.771,0.646152,2193.74,0.754,5.33,6.92,1D
AGETUE,28575.557,18949.44,1.101,0.582348,954.38,0.548,4.44,5.76,1D
AGILEH,30294.041,6792.792,0.372,0.772403,6228.73,1.911,8.57,9.16,1D
AGIMIN,32230.931,20466.27,1.054,0.238297,56.04,0.168,1.53,4.32,2D
AGIMIO,45000.913,44154.816,1.629,0.232684,18.72,0.112,1.09,4.38,2D
AGOHOV,26028.974,21244.572,1.355,0.314914,119.02,0.176,3.2,4.52,1D
AGONAM,40309.493,34887.456,1.437,0.455787,597.99,0.266,4.68,5.52,1D
AGONEQ,26692.667,17395.728,1.082,0.651371,1562.22,0.537,5.59,6.09,1D
AGOPER,69845.545,37201.056,0.884,0.454517,278.32,0.351,2.88,5.43,1D
AGOPUI,44991.779,52629.264,1.942,0.165371,76.6,0.078,4.11,4.96,1D
AGOVID,27208.977,10515.8,0.642,0.817292,2868.49,1.098,8.2,12.34,3D
AGOWAW,21387.721,9603.8,0.746,0.769381,2111.6,0.876,7.99,13.05,2D
AGOWEA,86862.969,62238.4,1.19,0.64876,825.05,0.418,4.3,8.22,3D
AGOWIE,64899.852,49110.432,1.257,0.270198,9.16,0.134,2.23,4.21,1D
AGOWIF,37614.247,16416.576,0.725,0.542414,2050.61,0.706,7.15,8.35,2D
AGOXAV,39037.213,25379.616,1.08,0.201003,106.65,0.129,1.23,4.91,3D
AGOXOK,60690.9,74249.664,2.032,0.181726,15.93,0.08,1.33,4.34,2D
AGOZED,42539.408,42094.56,1.643,0.206258,69.17,0.087,2.05,4.74,1D
AGUDUB,87100.655,63366.784,1.208,0.077268,27.44,0.046,1.16,4.62,2D
AGUPIC,25164.857,22244.064,1.468,0.100787,5.58,0.05,1.08,4.32,3D
AGUTEC,44072.747,26757.36,1.008,0.41775,306.07,0.38,3.33,5.44,1D
AGUVII,35199.868,21877.704,1.032,0.388804,189.63,0.333,2.61,4.92,1D
AHAFEV,26593.407,19774.128,1.235,0.272691,266.66,0.163,1.91,5.77,1D
AHAMAY,24974.807,35130.456,2.336,0.200616,12.87,0.066,3.38,4.28,1D
AHAYUF,45973.981,33892.784,1.224,0.359736,605.18,0.249,4.4,6.03,3D
AHEHAY,22856.574,22368.302,1.625,0.408887,161.71,0.232,3.43,4.7,2D
AHEHEC,22751.293,22480.08,1.641,0.408007,160.24,0.226,3.45,4.74,1D
AHEKED,25094.588,25816.64,1.708,0.424047,36.72,0.209,3.34,4.22,1D
AHENOS,38674.096,31514.016,1.353,0.15059,56.12,0.073,1.74,4.93,1D
AHINIP,36537.131,27620.736,1.255,0.192738,49.01,0.092,2.1,4.85,1D
AHIPEN,22075.232,19028.288,1.431,0.351187,569.64,0.231,5.92,9.11,1D
AHOBEG,32339.804,27680.184,1.421,0.232919,25.36,0.117,1.88,4.33,1D
AHOLAK01,26110.348,13110.498,0.834,0.583174,1362.39,0.64,3.58,6.24,2D
AHOMOB01,28189.56,21530.304,1.268,0.386454,171.92,0.244,3.52,4.83,1D
AHORUL,78153.825,75133.56,1.596,0.116197,112.69,0.054,6.53,6.74,1D
AHOSEV,31017.959,17562.048,0.94,0.58808,1793.47,0.589,6.36,7.05,1D
AHOSUL,30540.174,17689.888,0.962,0.58027,1698.85,0.573,6.01,7.17,2D
AHOZIG,51792.686,41064.912,1.317,0.234516,95.59,0.134,1.49,4.88,1D
AHOZII,45730.521,26191.84,0.951,0.530862,943.13,0.483,5.85,6.89,1D
AHUNEW,36167.442,29345.328,1.347,0.206281,10.77,0.097,2.08,4.44,1D
AHUPEA,50576.326,38550.816,1.266,0.173767,8.6,0.082,1.84,4.24,3D
AHUPIE,53210.676,38442.816,1.2,0.229512,3.18,0.129,2.59,4.07,3D
AJABIX01,38298.116,27009.648,1.171,0.332491,460.63,0.244,1.5,6.93,1D
AJABIX,37767.198,27009.648,1.188,0.320254,420.43,0.233,1.18,6.65,1D
AJABOD,37907.335,27009.648,1.183,0.322551,432.49,0.235,1.46,6.72,1D
AJABUJ01,19629.413,13499.64,1.142,0.189402,12.34,0.11,2.1,4.21,1D
AJABUJ,20433.001,13499.64,1.097,0.234969,85.12,0.155,1.9,4.8,1D
AJAGOI,30704.857,39312.154,2.126,0.320219,326.16,0.133,6.25,6.93,1D
AJAHEZ,28571.541,42498.173,2.47,0.250642,26.71,0.082,1.75,4.42,1D
AJAXAM,39330.124,20372.544,0.86,0.44962,459.76,0.452,2.75,4.92,1D
AJECUO,58548.813,56871.85,1.613,0.21523,51.29,0.106,2.6,4.43,1D
AJESUD,37445.074,28020.691,1.243,0.377964,253.65,0.235,2.12,4.89,1D
AJIHOQ,39792.571,31173.888,1.301,0.463176,595.35,0.294,6.39,7.09,1D
AJIJIN,21872.926,10883.28,0.826,0.515227,1592.05,0.674,4.48,5.18,2D
AJIMEN,27701.855,23805.9,1.427,0.417451,159.13,0.245,3.16,4.77,2D
AJIROB,31379.274,25768.526,1.364,0.226644,15.48,0.114,1.99,4.25,1D
AJODOT,46782.582,40594.56,1.441,0.240269,285.85,0.128,4.98,5.75,1D
AJOHOY,39284.394,29227.579,1.235,0.250472,302.48,0.156,2.77,6.67,1D
AJOTOK,30753.98,25457.832,1.375,0.509017,386.15,0.339,3.59,4.79,1D
AJOVEB,42839.944,51754.32,2.006,0.146809,24.19,0.061,4.04,4.99,1D
AJUFUI,29362.147,24102.384,1.363,0.268626,136.42,0.156,1.67,4.73,1D
AJUNOK,41905.271,36255.936,1.437,0.280048,90.08,0.142,2.68,4.8,1D
AKAXIU,32558.467,26301.504,1.341,0.476471,739.35,0.304,8.94,9.43,1D
AKAXOA,33084.55,26301.504,1.32,0.485735,757.42,0.318,9.43,9.99,1D
AKAXUG,32204.132,26301.504,1.356,0.471226,730.41,0.299,8.68,9.32,1D
AKAYAN,30748.466,26301.504,1.42,0.438526,687.72,0.265,7.31,7.88,1D
AKAYER,33276.391,26301.504,1.312,0.478837,766.97,0.315,8.88,9.37,1D
AKEBAV,36140.574,27510.096,1.264,0.25591,61.21,0.159,1.15,4.59,3D
AKECEA,29661.405,23608.909,1.322,0.348879,77.7,0.215,3.31,4.41,1D
AKECIE,31871.934,23608.909,1.23,0.400607,353.28,0.258,3.21,5.25,2D
AKEDAX,45048.986,27318.395,1.007,0.380572,23.06,0.289,3,4.39,2D
AKICUT01,30309.122,16916.256,0.927,0.510926,1710.11,0.535,6.45,7.37,1D
AKIMIS,28338.498,13714.144,0.804,0.604676,1806.46,0.671,7.12,7.97,1D
AKINAK,43671.646,62263.283,2.367,0.166755,11.16,0.059,1.77,4.48,1D
AKIQUG,44693.509,21952.768,0.816,0.558306,1554.1,0.667,9.8,10.08,1D
AKITUL,38753.386,24634.872,1.056,0.466235,205.14,0.354,3.61,4.56,1D
AKIYOI,55554.383,32233.382,0.963,0.620615,2077.39,0.626,4.95,5.84,2D
AKIYOK,31040.204,22731.552,1.216,0.220178,33.36,0.111,2.73,4.45,1D
AKIYUQ,31954.76,25077.072,1.303,0.214015,39.05,0.111,2.92,4.41,1D
AKIZEZ,22971.179,11640.461,0.841,0.645834,1574.57,0.746,4.47,5.65,1D
AKIZUR,27896.248,18902.448,1.125,0.294537,8.99,0.201,2.91,4.12,1D
AKOBAF,55777.773,40150.416,1.195,0.29606,62.64,0.192,3.26,4.47,3D
AKUJOH,33041.516,22998.395,1.156,0.378833,61.57,0.236,2.93,4.43,1D
AKUMIE,35585.336,16987.018,0.793,0.662146,1239.38,0.695,4.25,5.02,1D
AKURIH01,43782.151,17597.126,0.667,0.676269,2839.29,0.918,7.99,8.86,1D
ALATIR,21556.635,20711.68,1.595,0.216174,78.25,0.108,1.24,4.96,2D
ALATOX,21525.387,20969.408,1.618,0.186481,31.96,0.095,1.42,4.63,1D
ALECUP,37205.89,27254.4,1.216,0.434523,465.48,0.375,3.67,5.03,1D
ALEQEP,40126.866,17662.848,0.731,0.637978,2117.75,0.741,6.36,7.58,1D
ALESAN,39580.105,17893.44,0.751,0.633798,2005.8,0.718,5.89,7.45,1D
ALEZEY,36359.931,32831.928,1.499,0.08579,2.16,0.035,2.88,4.2,1D
ALIFOS,39642.157,33642.396,1.409,0.252238,56.79,0.125,2.67,4.56,1D
ALIFUY,46959.311,39055.104,1.381,0.225565,12.04,0.116,2.42,4.32,2D
ALIHEJ,61049.541,38011.536,1.034,0.221585,0.1,0.132,2.05,4.1,1D
ALIHUY,33963.221,31084.704,1.52,0.239682,89.45,0.114,1.61,4.57,1D
ALIJUB,37792.711,20925.024,0.919,0.272584,144.05,0.238,2.69,4.38,1D
ALIWEX,49065.156,67951.104,2.3,0.270012,42.61,0.089,2.73,4.65,2D
ALOLES,23433.195,29350.589,2.08,0.410734,208.11,0.164,3.42,5.17,2D
ALONOE,41144.357,37145.16,1.499,0.272287,71.08,0.136,2.89,4.72,1D
ALTRMN,66623.196,40937.76,1.02,0.296251,10.06,0.271,3.07,4.21,1D
ALUKIC,25422.372,11172.112,0.73,0.703166,2953.25,0.866,4.58,6.37,1D
ALUKOI,25320.975,11336.016,0.743,0.70224,2892.67,0.851,4.56,6.35,1D
ALUKUO,25286.407,11361.68,0.746,0.703308,2837.79,0.847,4.64,6.37,1D
ALULAV,25160.416,11446.256,0.755,0.704111,2801.53,0.832,4.57,6.36,1D
ALURAB,62224.528,39381.528,1.051,0.434941,558.42,0.321,3.47,6.74,1D
ALUREF,62087.088,39381.528,1.053,0.435477,555.43,0.315,3.46,6.71,1D
AMAGOL,54629.479,16766.952,0.51,0.779341,4942.18,1.565,8.71,9.67,1D
AMAPIN,61775.563,44444.8,1.195,0.336543,181.87,0.204,3.15,4.94,1D
AMAPUZ,53267.567,30149.088,0.94,0.458001,721.39,0.421,4.35,5.37,1D
AMAQAG02,20859.531,14749.704,1.174,0.273303,67.41,0.181,1.69,4.29,1D
AMAQAG,20859.522,14749.704,1.174,0.272125,67.18,0.177,1.7,4.3,1D
AMAQEK,42506.149,32124.8,1.255,0.292071,107.43,0.178,2.96,4.48,1D
AMEQUF,37149.11,26797.248,1.198,0.250176,0.06,0.135,2.93,4.02,1D
AMILOY,55327.153,35294.952,1.059,0.459139,821.88,0.35,9,10.67,1D
AMILUE,56740.624,35294.952,1.033,0.469717,858.77,0.371,10.79,11.19,1D
AMIMAL,56364.225,35294.952,1.04,0.463582,863.36,0.362,9.26,10.81,1D
AMIMAM,26979.027,20329.164,1.251,0.247377,2.8,0.165,1.46,4.14,3D
AMINUF,35746.28,29233.224,1.358,0.383814,335.04,0.215,2.95,5.57,1D
AMIYIF,63175.304,51248.045,1.347,0.456215,164.97,0.296,3.65,5.33,1D
AMOCAH,55710.594,56166.048,1.674,0.470621,375.23,0.274,3.78,5.19,1D
AMOFAK,50749.407,22626.688,0.74,0.697311,2508.86,0.834,4.37,6.6,1D
AMOYOR,61545.233,43312.32,1.169,0.291604,154.6,0.179,3.79,4.57,1D
AMUBIU,27308.481,24693.072,1.502,0.176045,141.96,0.084,3.31,6.63,1D
AMUBOA,62977.715,29083.2,0.767,0.656571,1443.57,0.808,4.72,6.21,1D
AMUCAN,37432.241,31029.744,1.377,0.211449,249.46,0.124,2.7,5.4,1D
AMULOK,21745.18,16667.208,1.273,0.317479,53.32,0.175,2.81,4.41,1D
AMULUQ,22467.918,16667.208,1.232,0.365901,109.22,0.205,2.91,4.97,1D
AMUMEB,22320.052,16667.208,1.24,0.362123,103.16,0.203,2.93,4.78,1D
AMUPOP,51196.121,40136.128,1.302,0.228292,23.1,0.125,3.51,4.44,1D
AMUQEG,33536.181,21585.168,1.069,0.431816,494.4,0.321,2.39,6.36,1D
AMURUX,26996.276,20391.04,1.254,0.238322,4.33,0.196,1.93,4.13,1D
AMUSOR,79386.508,58956.698,1.233,0.273759,49.14,0.164,2.29,4.57,1D
AMUWIP,66346.161,21960.88,0.55,0.847286,4526.06,1.444,8.41,11.29,1D
AMUXIR,41119.799,25179.552,1.017,0.433694,733.9,0.338,3.99,5.32,1D
AMUYAK,51490.481,19534.128,0.63,0.716032,2549.73,0.985,6.25,7,2D
AMUYEO,32106.272,13773.456,0.712,0.591194,1006.82,0.782,3.13,4.9,2D
ANAGIH,43018.117,30678.12,1.184,0.512146,627.51,0.353,4.62,5.85,1D
ANAGUS,29367.414,24234.346,1.37,0.246502,33.9,0.116,2.73,4.47,1D
ANAHED,35881.78,40470.408,1.873,0.314058,250.09,0.164,3.65,5.96,1D
ANAWIX,25584.133,24691.84,1.603,0.409178,300.43,0.216,3.95,4.99,1D
ANAWOD,40776.728,35309.76,1.438,0.575983,825.23,0.32,5.83,6.81,1D
ANEFIK,53655.743,25029.888,0.775,0.719219,2993.26,0.939,6.46,7.97,1D
ANEHOS,39516.362,34520.112,1.451,0.279185,69.47,0.135,2.79,4.56,2D
ANEQEQ,47961.757,14331.782,0.496,0.813309,6115.86,1.594,6.06,7.48,1D
ANEQIU,35162.142,22137.357,1.045,0.486274,299.74,0.374,2.8,5.27,2D
ANESOC,38274.102,36909.936,1.601,0.154406,41.3,0.1,1.66,4.69,1D
ANIDAD,48201.237,39974.352,1.377,0.371785,124.87,0.207,2.43,4.86,1D
ANODOX,46725.098,39338.496,1.398,0.153851,43.15,0.074,1.66,4.68,1D
APAQAL,47831.055,33764.767,1.172,0.189698,8.93,0.096,2.39,4.28,1D
APINAP01,36902.577,25863.408,1.164,0.275845,94.06,0.168,1.11,4.46,3D
APINAP,36992.185,25863.408,1.161,0.283692,134.34,0.175,1.17,4.67,3D
APIXED,28478.438,18999.77,1.108,0.54204,731.62,0.435,3.54,6.18,2D
APIXUT,48298.228,38069.088,1.309,0.336965,38.2,0.191,1.38,4.51,2D
APOJIZ,32591.919,31055.724,1.582,0.26441,245.35,0.154,4.58,5.08,1D
APORUS,33570.826,18938.832,0.937,0.506492,876.46,0.528,3.82,5.58,1D
APUSOV,56055.349,35682.432,1.057,0.459695,528.75,0.345,3.56,5.39,1D
APUVIS,26070.845,17582.784,1.12,0.420334,797.69,0.324,7.8,8.13,1D
APUZOB,35870.211,33570.144,1.554,0.179397,8.21,0.101,2.1,4.21,1D
AQASIW,65054.695,45955.392,1.173,0.299848,112.85,0.19,3.37,4.62,1D
AQASUG,22837.969,16085.904,1.17,0.355955,478.92,0.221,5.74,6.19,1D
AQATAN,27120.823,25470.144,1.559,0.222537,16.52,0.104,1.87,4.31,1D
AQAVOD01,33240.147,27060.691,1.352,0.321497,4.63,0.206,2.99,4.23,1D
AQAVOD,33929.332,25332.691,1.24,0.44604,175.57,0.322,3.51,4.96,2D
AQEKOX,32448.13,17426.544,0.892,0.527533,738.99,0.563,3.98,4.92,1D
AQEKUD,33696.956,17234.784,0.849,0.529284,952.09,0.597,4.03,4.97,2D
AQEQES,34344.014,22243.176,1.075,0.557847,1066.15,0.458,5.12,5.58,1D
AQESAR,40297.338,27914.48,1.15,0.22519,150.52,0.145,1.95,5.51,1D
AQIREX,68382.985,48053.088,1.167,0.231788,322.66,0.147,4.29,5.88,1D
AQIROJ,33074.653,28574.208,1.435,0.314508,101.2,0.192,1.68,4.75,3D
AQIVIH,25228.692,8710.728,0.573,0.737102,3310.96,1.177,4.3,5.31,1D
AQODER,31867.071,27420.192,1.429,0.364548,513.63,0.238,4.99,6.47,1D
AQOFAO,38692.288,17242.423,0.74,0.601823,1105.97,0.758,15.1,16.12,1D
AQONAW,21802.223,15501.36,1.181,0.207025,200.77,0.127,1.46,5.85,1D
AQUCOG,62082.913,44839.584,1.199,0.694087,1170.8,0.498,10.53,11.33,1D
AQUCUM,62129.977,44839.584,1.198,0.701462,1181.53,0.502,10.63,11.42,1D
AQUDIB,62097.163,44839.584,1.199,0.688357,1172.33,0.497,10.51,11.29,1D
AQUMIJ,31530.132,10136.286,0.534,0.716706,4193.21,1.255,6.94,7.78,1D
AQUQOT,35148.901,37630.116,1.778,0.385235,310.32,0.24,3.38,4.94,1D
AQUWUF,41297.745,18034.344,0.725,0.655922,2137.53,0.79,7.06,7.83,1D
ARABAY,46738.295,46603.462,1.656,0.105777,5.31,0.041,1.07,4.29,1D
ARABEC,47124.43,45986.76,1.62,0.109512,10.47,0.043,1.1,4.42,1D
ARABIG,46387.861,46860.84,1.677,0.105013,4.23,0.038,1.07,4.29,1D
ARADAA,36501.317,19312.992,0.879,0.58356,1372.63,0.581,4.55,5.98,1D
ARAGOR,61200.883,52488.096,1.424,0.171704,3.22,0.092,1.81,4.17,2D
ARAGUX,38296.007,39975.768,1.733,0.17387,58.29,0.08,1.23,4.9,2D
ARAWEW,28066.398,20167.68,1.193,0.319873,152.38,0.234,1.79,4.52,1D
ARAXEW,34948.288,23619.06,1.122,0.403364,106.73,0.305,2.93,5,1D
AREGUZ,49264.373,51521.702,1.737,0.273673,30.81,0.115,2.67,4.36,1D
ARESUL,46731.518,32752.08,1.164,0.401331,220.11,0.257,2.57,4.84,2D
AREZUS,46257.13,29836.896,1.071,0.358416,86.84,0.238,2.89,4.92,1D
ARICIN,52042.574,45352.8,1.447,0.292749,28.73,0.139,3.59,4.66,1D
ARICOT,45078.303,24020.4,0.885,0.605101,1983.99,0.619,5.73,8.17,1D
ARINIZ,30641.871,32199.955,1.745,0.158411,51.79,0.083,3.37,4.49,1D
ARINOF,33233.008,23212.896,1.16,0.285466,11.16,0.173,2.96,4.19,1D
ARINUL,51003.179,34534.528,1.124,0.249544,37.89,0.158,3.36,4.37,1D
AROTUW,37413.655,21488.922,0.954,0.627715,2029.36,0.645,5.83,6.66,1D
ARUBEW,33934.078,22786.596,1.115,0.367966,366.23,0.258,2.86,5.39,1D
ARUBOG,32626.659,22786.596,1.16,0.359707,293.55,0.234,2.26,5.22,1D
ARUCAT,33424.276,22786.596,1.132,0.366009,331.26,0.249,2.47,5.28,2D
ARUCUN,32227.014,22714.596,1.17,0.344026,216.63,0.224,2.14,4.95,1D
ASABOL,27990.417,24792.444,1.471,0.171104,3.09,0.063,2.42,4.13,1D
ASACEC,33783.318,26962.614,1.325,0.195618,11.01,0.094,2.1,4.21,1D
ASAFEF,27627.48,21572.736,1.297,0.341175,543.04,0.225,5.27,5.68,1D
ASAJUZ,36180.671,35573.198,1.633,0.267849,83.96,0.129,1.82,4.61,1D
ASALOV,38191.168,31927.608,1.388,0.277254,20.31,0.123,2.28,4.3,2D
ASAMAK,30691.652,19556.48,1.058,0.584887,1636.85,0.497,6.11,7.55,1D
ASAYOJ,36342.257,30846.096,1.409,0.098534,0.27,0.047,1.23,4.02,3D
ASEKUE,33335.865,18506.496,0.922,0.440725,641.51,0.459,3.63,5.13,2D
ASELIV,58369.361,58444.344,1.663,0.104691,11.93,0.039,1.69,4.79,1D
ASEPOD,42714.684,26525.232,1.031,0.403935,620.51,0.327,4.08,5.03,1D
ASIQEA,33559.761,18227.264,0.902,0.526036,1203.29,0.485,6.1,8.76,1D
ASIQIE,33897.243,18227.264,0.893,0.5351,1234.02,0.499,6.08,8.88,1D
ASIQUQ,43650.938,27061.139,1.029,0.571033,1470.6,0.518,4.57,9.96,1D
ASIVAZ,36747.48,23711.936,1.071,0.30476,589.79,0.24,5.66,7.34,3D
ASUBIB,32824.998,35134.416,1.777,0.249574,17.27,0.096,2.24,4.48,1D
ASUBIZ,42013.212,27900.72,1.103,0.520127,822.34,0.377,3.89,5.99,1D
ASUGOK,27546.973,20426.88,1.231,0.296967,30.89,0.184,2.68,4.37,1D
ASULAD,38725.445,26598.096,1.141,0.229158,32.59,0.149,2.99,4.36,1D
ATADEG,68179.592,60906.144,1.483,0.197851,123.9,0.09,3.79,4.92,1D
ATAPER,26698.374,12020.544,0.748,0.768799,1228.65,0.976,15.75,16.43,1D
ATARAP,22952.73,18465.376,1.336,0.197372,0.54,0.11,2.95,4.04,1D
ATEGOX,32790.257,15819.048,0.801,0.619095,1931.47,0.669,6.17,8.8,1D
ATEHOY,37726.717,25211.986,1.11,0.430221,539.41,0.306,3.38,5.52,1D
ATEQEX,38497.914,35310.936,1.523,0.216724,88.27,0.101,3.37,4.77,2D
ATERAU,23925.818,20652.462,1.433,0.30594,79.92,0.175,3.63,4.59,1D
ATESAV,45363.602,33071.584,1.211,0.332367,280.56,0.206,4.18,5.42,1D
ATEVOK,30168.062,12242.144,0.674,0.642976,2298.52,0.85,7.26,8.47,1D
ATEYAB,27969.893,17999.712,1.069,0.403351,262.44,0.286,3.22,4.87,1D
ATEYEF,26601.077,21871.674,1.365,0.221794,0.15,0.087,2,4,2D
ATIBIP,51144.201,33983.136,1.103,0.327997,187.99,0.236,3.01,4.91,1D
ATIBOU01,32647.441,31306.608,1.592,0.295558,201.47,0.192,3.26,4.94,1D
ATIBOU02,32717.709,31306.608,1.589,0.297112,208.13,0.192,3.4,4.96,1D
ATIBOU,31273.593,31306.608,1.662,0.26846,113.69,0.169,3.14,4.59,1D
ATIBUA,31028.815,31306.608,1.675,0.258982,98.63,0.162,3.04,4.77,1D
ATICAH,32597.599,31306.608,1.595,0.28933,183.15,0.187,3.3,4.99,1D
ATICUD,54172.458,24636.928,0.755,0.62007,2361.29,0.811,5.2,6.01,1D
ATIDAK,32920.436,22318.8,1.126,0.310581,210.36,0.203,3.93,5.1,1D
ATISUR,39750.279,12869.856,0.538,0.596512,2833.3,1.007,7.38,9.91,2D
ATIZUA,31272.963,21140.4,1.123,0.466003,175.45,0.323,3.4,4.67,1D
ATOJOI,32281.051,43507.104,2.238,0.049194,0.04,0.016,1.24,4.03,3D
ATOMAX,21824.652,8475.568,0.645,0.724254,2955.62,1.094,6.87,8.14,1D
ATUQUB,33225.897,16594.416,0.829,0.592898,1838.15,0.651,7.22,8.17,1D
ATUYEU,29198.581,19899.288,1.132,0.30606,67.23,0.2,3.49,4.31,1D
ATUYUK,33533.932,14543.117,0.72,0.60873,1490.6,0.79,11.11,11.99,2D
AVAGIP,30887.025,27258.253,1.465,0.158977,55.28,0.07,4.05,4.4,1D
AVAPIW,35588.197,24072.072,1.123,0.351408,668.04,0.25,4.66,6.69,1D
AVAQIX01,42809.127,35944.8,1.394,0.349919,149.33,0.201,1.84,5.19,2D
AVAQIX,43493.307,35944.8,1.372,0.367343,174.1,0.213,2.08,5.26,1D
AVASUM,49639.831,40698.912,1.361,0.162421,21.46,0.077,1.42,4.64,2D
AVATAT,16802.788,19757.856,1.953,0.185289,49.73,0.056,2.09,5.25,3D
AVAYUS,27258.724,18974.304,1.156,0.250906,37.25,0.156,2.88,4.35,1D
AVAZOO,24997.768,15980.944,1.062,0.559262,1332.06,0.469,5.11,7.34,1D
AVEHAM,53463.114,38920.32,1.209,0.258911,7.4,0.136,3.38,4.17,1D
AVEROJ,34216.122,34972.884,1.697,0.531651,679.5,0.281,6.55,6.88,1D
AVEVAZ,43452.308,35907.52,1.372,0.368466,185.89,0.209,2.52,4.51,1D
AVILAT,64754.898,55192.512,1.415,0.283811,260.01,0.158,1.35,5.4,3D
AVIMOI,21751.994,16914.72,1.291,0.358782,225.74,0.208,3.84,4.86,1D
AVIMUO,20821.393,16413.024,1.309,0.285104,30.64,0.159,3.31,4.41,1D
AVINAV,22641.806,16798.68,1.232,0.204775,99.64,0.126,2.58,4.87,1D
AVIQEC,59809.551,52633.824,1.461,0.12495,0.36,0.068,1.46,4.13,1D
AVOJAW,46382.585,34889.024,1.249,0.115317,2.46,0.061,1.03,4.1,1D
AVOSUA,50953.171,37427.347,1.22,0.277947,354.87,0.201,4.54,5.48,1D
AVOWIT,45008.608,32248.794,1.19,0.559561,995.15,0.414,6.87,8.86,1D
AVOZAO,30645.217,27018.88,1.464,0.148821,23.73,0.07,1.16,4.65,3D
AVUBIC,42095.264,22647.924,0.893,0.528154,454.08,0.481,4.06,4.9,1D
AVUCEA,35594.834,22387.176,1.044,0.485002,532.96,0.415,3.5,6.11,3D
AVUDAX,39288.695,27001.44,1.141,0.379678,368.95,0.27,3.33,5.44,3D
AVUGAB,42658.737,31887.392,1.241,0.212249,18.79,0.119,2.22,4.43,1D
AVUWIZ,26004.17,10262.688,0.655,0.640087,2307.93,0.846,5.86,9.2,2D
AVUXUL,35605.483,31178.891,1.454,0.134635,13.29,0.08,1.87,4.32,1D
AVUYAS,34656.921,31307.58,1.5,0.133192,10.83,0.074,1.66,4.21,1D
AVUZAS,29358.243,10226.368,0.578,0.705728,2908.89,1.157,8.67,9.19,1D
AWAGOV,54053.617,38511.488,1.183,0.282111,372.27,0.182,3.91,7.59,1D
AWAKEQ,23599.604,17362.704,1.222,0.209481,209.86,0.128,3.41,5.35,1D
AWASAU,28468.689,42455.606,2.476,0.17996,13.49,0.062,3.26,4.35,1D
AWASIC,34859.366,26994.438,1.286,0.584274,1181.37,0.447,5.83,8.82,1D
AWASOI,42828.747,65555.522,2.542,0.086278,4.78,0.027,1.39,4.54,2D
AWEBIO,24967.462,30170.016,2.007,0.194687,16.32,0.051,2.36,4.72,1D
AWEDOW,23375.319,13426.536,0.954,0.48953,1039.76,0.413,7.38,8.11,1D
AWEGEP,64942.229,88974.648,2.275,0.311851,126.87,0.132,2.92,5.83,2D
AWELIX,28734.04,15605.52,0.902,0.515613,1647.18,0.542,7.23,7.73,1D
AWERIE,36076.931,24154.632,1.112,0.581225,1250.9,0.468,5.49,6.78,1D
AWESAX,34320.04,19561.416,0.946,0.397437,419.52,0.36,3.33,5.04,1D
AWESEB,33590.3,19465.416,0.962,0.40284,437.02,0.357,3.34,5.05,1D
AWESUR,38512.935,23079,0.995,0.394852,768.48,0.324,5.74,6.19,1D
AWEZOS01,71902.723,66425.632,1.534,0.120901,45.34,0.052,3.02,5.41,1D
AWEZOS,71902.723,66425.632,1.534,0.120095,44.53,0.051,3,5.37,1D
AWIBAK,71902.723,66425.632,1.534,0.121503,46.44,0.052,2.88,5.43,1D
AWIBAL,25720.386,27107.352,1.75,0.339658,35.28,0.152,3.2,4.39,1D
AWIBEO,71902.723,67848.16,1.567,0.119647,45.09,0.05,3.07,5.49,1D
AWIBIS,72225.032,67848.16,1.56,0.124235,48.44,0.053,3.04,5.43,1D
