Refcode,Volume (A3),Mass (g/mol),Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),Porosity
XUJMAS,27152.239,18664.308,1.141,0.265819,10.37,0.174,1.98,4.22,3D
XUJPEY,32914.209,24865.896,1.254,0.481145,625.49,0.311,3.93,5.74,1D
XUJPIC,33364.769,24865.896,1.238,0.493995,744.73,0.324,4.21,5.77,1D
XUJPOI,30423.374,22658.528,1.237,0.486196,329.62,0.334,3.46,5.05,1D
XUJQAV,30449.6,22658.528,1.236,0.489519,346.7,0.334,3.5,5.11,1D
XUJRIE,42374.074,23175.136,0.908,0.552088,1080.12,0.584,11.39,12.09,1D
XUJRUR,46249.276,25772.414,0.925,0.564431,1663.18,0.553,4.97,8.89,1D
XUJZOR,31904.569,35916.204,1.869,0.223239,29.17,0.103,2.15,4.6,1D
XUKLAS,28327.81,23866.08,1.399,0.167338,1.67,0.092,1.81,4.18,1D
XUKTEE,30801.148,16372.81,0.883,0.629767,1931.42,0.65,9.12,10.12,1D
XUKXEH,37714.648,32208.256,1.418,0.355964,129.02,0.185,2.36,5.04,2D
XUKYEI,49120.006,16975.168,0.574,0.721928,2977.33,1.136,8.21,9.74,2D
XULCIR,40719.142,27087.12,1.105,0.350172,148.4,0.273,2.73,4.89,1D
XULGAN,37554.918,18411.216,0.814,0.563421,1398.22,0.63,4.63,6.55,1D
XULGUI,40614.486,35829.756,1.465,0.314096,206.22,0.15,2.93,4.99,1D
XULNOJ,52336.87,43013.304,1.365,0.180257,32.53,0.106,2.14,4.28,1D
XULPAV,34511.172,20588.938,0.991,0.564457,1358.5,0.539,8.32,9.06,1D
XULPEZ,35815.104,28410.451,1.317,0.312825,144.44,0.21,2.23,4.78,1D
XUMFIW,43603.228,37358.388,1.423,0.115962,24.28,0.058,1.54,4.36,2D
XUMKUN,47763.264,21297.06,0.74,0.663894,2233.18,0.822,5.64,7.85,2D
XUMNEA,54112.754,39668.736,1.217,0.272905,112.48,0.146,3.16,5.15,1D
XUMPIF,27858.341,42128.144,2.511,0.118254,5.34,0.035,1.28,4.17,1D
XUMRUU,58186.495,53617.248,1.53,0.245974,6.66,0.1,1.06,4.24,2D
XUNHAQ,25431.03,15473.76,1.01,0.406798,101.33,0.319,3.61,4.26,1D
XUNSAC,29374.674,18568.512,1.05,0.374114,166.81,0.28,3.45,4.6,1D
XUNTIL,23196.19,15473.76,1.108,0.289739,3.93,0.22,3.28,4.05,1D
XUNXOU01,32975.208,8135.664,0.41,0.81629,3260.88,2.022,12.9,14.35,1D
XUNYIO,45673.406,19563.552,0.711,0.669905,2133.12,0.816,5.3,6.97,1D
XUPCEQ,61566.822,50246.016,1.355,0.150985,60.11,0.077,1.16,4.64,1D
XUPSIK,23109.279,32209.776,2.314,0.214207,2,0.068,1.63,4.13,2D
XUPTUX,23567.649,9393.92,0.662,0.641559,2900.76,0.902,7.07,8.58,1D
XUQHAT,48426.349,50044.224,1.716,0.193329,0.11,0.079,2.16,4.07,1D
XUQHEX,47493.991,50592.403,1.769,0.192737,0.34,0.073,2.17,4.09,1D
XUQMAX01,25574.629,19640.088,1.275,0.295617,70.99,0.214,2.72,4.63,2D
XUQMAX,25574.629,20288.088,1.317,0.257067,7.13,0.131,2.68,4.21,1D
XURNOO,28487.178,7914.64,0.461,0.828111,5304.65,1.745,8.09,9.6,1D
XURXOY,32398.113,28062.696,1.438,0.095548,0.12,0.044,1.24,4.05,1D
XUSDUL,43450.792,26632.526,1.018,0.438096,295.25,0.341,3.59,4.79,1D
XUSLAZ,47656.387,45328.733,1.579,0.090653,40.25,0.04,1.19,4.76,2D
XUSTOV,35929.009,26499.474,1.225,0.496929,691.69,0.332,4.35,5.64,2D
XUSTUB,35709.083,25989.05,1.209,0.484659,669.07,0.328,4.11,5.64,2D
XUSVAJ,34791.085,26586.09,1.269,0.488928,622.37,0.308,3.63,5.48,2D
XUVHEB,52928.196,34309.888,1.076,0.50358,821.09,0.352,5.18,6.05,1D
XUYGON,33442.729,22489.408,1.117,0.459713,153.33,0.346,3.01,4.92,2D
XUYGUV,34020.151,26679.6,1.302,0.350277,73.65,0.219,2.1,4.49,1D
XUYJEH,24862.81,22510.548,1.503,0.121419,4.31,0.072,1.99,4.25,1D
XUYSOB,32174.417,20151.518,1.04,0.438492,201.85,0.369,2.72,4.44,3D
XUYXAR,43129.323,39218.816,1.51,0.241464,0.08,0.117,3.5,4.04,1D
