Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
CIXZIS,1985,1.471,0.153549,39.09,0,0.08,0,2.99,4.37,1.461538462,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.3-4.4),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CIXZIS
COKDUB,1985,0.801,0.691386,2609.07,2588.24,0.92,0.918,7.6,8.35,1.098684211,1D,[0.8 - 1.0),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=COKDUB
COLVEE,1985,1.352,0.234917,214.21,205.36,0.138,0.138,4.5,4.72,1.048888889,1D,[1.3 - 1.4),[0.2 - 0.3),[200 - 300),[200-300),[0.1 - 0.2),[0.1-0.2),[4.5-5.0),[4.6-4.8),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=COLVEE
CORMIF,1985,0.88,0.586693,1680.25,1596.07,0.604,0.589,5.78,7.4,1.280276817,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.5-0.6),[5.0-6.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CORMIF
CUHBOW,1985,0.705,0.519856,1458.1,1439.16,0.712,0.715,10.75,11.51,1.070697674,1D,[0.6 - 0.8),[0.5 - 0.6),[1250 - 1500),[1000-1500),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CUHBOW
DAHWUE,1986,1.065,0.580952,1524.41,1533.39,0.561,0.556,9.68,10.44,1.078512397,1D,[1.0 - 1.1),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DAHWUE
DEHFUR,1986,1.127,0.414403,566.28,0,0.354,0,2.73,6.06,2.21978022,3D,[1.1 - 1.2),[0.4 - 0.5),[500 - 600),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[2.6-3.0),[6.0-6.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DEHFUR
DELTUJ,1986,1.164,0.191449,10.13,0,0.111,0,2.55,4.16,1.631372549,2D,[1.1 - 1.2),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.0-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DELTUJ
DEWDOY,1986,1.736,0.155791,14.07,0,0.088,0,2.18,4.37,2.004587156,2D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DEWDOY
DISTUU,1986,0.817,0.570046,1005.78,1015.84,0.619,0.613,3.98,5.63,1.414572864,1D,[0.8 - 1.0),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.6 - 0.8),[0.6-0.8),[3.8-4.0),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DISTUU
DUBFEL,1987,0.995,0.548646,584.5,577.48,0.492,0.488,3.53,5.54,1.569405099,1D,[0.8 - 1.0),[0.5 - 0.6),[500 - 600),[500-600),[0.4 - 0.5),[0.4-0.5),[3.3-3.6),[5.3-5.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DUBFEL
DUDCEK01,1987,1.274,0.221604,5.49,0,0.144,0,3.02,4.15,1.374172185,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.0-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DUDCEK01
DUYWAV,1987,1.389,0.24088,59.55,0,0.137,0,2.81,4.8,1.708185053,1D,[1.3 - 1.4),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.8-5.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DUYWAV
FAFMAA,1987,1.941,0.1856,32.34,0,0.077,0,0.87,4.92,5.655172414,NON-POROUS,[1.8 - 2.0),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),0.87,[4.8-5.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAFMAA
FAFMEE,1987,1.859,0.180521,34.52,0,0.08,0,0.87,4.94,5.67816092,NON-POROUS,[1.8 - 2.0),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),0.87,[4.8-5.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAFMEE
FAFVIR,1987,1.58,0.269606,8.56,0,0.16,0,3.27,4.14,1.266055046,2D,[1.5 - 1.6),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.0-4.2),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAFVIR
FAGZAO,1987,0.755,0.648546,1950.35,1999.25,0.826,0.82,9.58,10.11,1.055323591,1D,[0.6 - 0.8),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.8 - 1.0),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAGZAO
FAGZES,1987,0.898,0.658293,1665.37,1654.53,0.69,0.695,9.88,10.33,1.045546559,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAGZES
FAJZIZ,1987,0.762,0.598823,2181.07,2162.42,0.708,0.706,7.82,8.52,1.089514066,1D,[0.6 - 0.8),[0.5 - 0.6),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAJZIZ
FAVCAG,1987,0.733,0.65217,2553.2,2484.47,0.802,0.788,6.01,8.19,1.362728785,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAVCAG
FEFNAF,1987,2.212,0.214941,16.68,0,0.096,0,2.32,4.37,1.88362069,1D,[2.0 - 7.0],[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.3-4.4),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEFNAF
FEJFEF,1987,0.997,0.549615,1334.63,1325.54,0.528,0.521,8.14,9.07,1.114250614,1D,[0.8 - 1.0),[0.5 - 0.6),[1250 - 1500),[1000-1500),[0.5 - 0.6),[0.5-0.6),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEJFEF
FEWNEA,1987,1.16,0.243094,0.08,0.16,0.175,0.178,2.84,4.02,1.415492958,1D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.05-50),[0.1 - 0.2),[0.1-0.2),[2.6-3.0),[4.0-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEWNEA
FUVCII,1988,0.987,0.372647,10.46,10.54,0.338,0.335,3.61,4.17,1.155124654,1D,[0.8 - 1.0),[0.3 - 0.4),[0 - 50),[0.05-50),[0.3 - 0.4),[0.3-0.4),[3.6-3.8),[4.0-4.2),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FUVCII
GADFUM,1988,1.543,0.377536,394.21,391.98,0.253,0.248,3.93,5.84,1.486005089,1D,[1.5 - 1.6),[0.3 - 0.4),[300 - 400),[300-400),[0.2 - 0.3),[0.2-0.3),[3.8-4.0),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GADFUM
COKDUB01,1989,1.602,0.284958,42.65,0,0.216,0,3.01,4.56,1.514950166,1D,[1.6 - 1.8),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=COKDUB01
GENZUU,1989,1.18,0.188495,28.43,0,0.122,0,1.33,4.33,3.255639098,2D,[1.1 - 1.2),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GENZUU
GEWMIE,1989,0.418,0.733191,2734.23,2712.61,1.631,1.635,13.85,14.42,1.041155235,1D,[0.0 - 0.6),[0.7 - 0.8),[2000 - 3000),[2000-3000),[1.5 - 2.0),[1.5-2.0),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEWMIE
GEZYOZ,1989,1.31,0.14444,9.63,0,0.092,0,1.31,4.28,3.267175573,3D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEZYOZ
GIHVOI,1989,1.528,0.301591,24.77,0,0.156,0,2.04,4.36,2.137254902,1D,[1.5 - 1.6),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GIHVOI
GIJDEI,1989,1.585,0.239046,66.46,0,0.117,0,1.74,4.41,2.534482759,1D,[1.5 - 1.6),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.4-4.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GIJDEI
GIJDIM,1989,2.15,0.118892,20.93,0,0.042,0,1.69,4.77,2.822485207,3D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GIJDIM
SADPIW,1989,1.941,0.078942,27.38,0,0.038,0,1.16,4.65,4.00862069,2D,[1.8 - 2.0),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.6-4.8),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SADPIW
SAJTOM,1989,0.606,0.580501,2427.58,2351.02,0.878,0.874,6.97,8.09,1.160688666,1D,[0.6 - 0.8),[0.5 - 0.6),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAJTOM
SANHIY,1989,1.265,0.31295,92.67,0,0.192,0,3.03,4.59,1.514851485,1D,[1.2 - 1.3),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SANHIY
CORMIF10,1990,0.88,0.588084,1687.07,1612.73,0.601,0.593,5.77,7.39,1.280762565,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.5-0.6),[5.0-6.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CORMIF10
JALTUL,1990,0.52,0.529585,17.87,0,0.931,0,3.1,4.13,1.332258065,3D,[0.0 - 0.6),[0.5 - 0.6),[0 - 50),[0.0-0.05),[0.8 - 1.0),[0.0-0.01),[3.0-3.3),[4.0-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JALTUL
KAMGEK,1990,1.714,0.081067,3.32,0,0.03,0,1.48,4.19,2.831081081,1D,[1.6 - 1.8),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KAMGEK
KAWFIX,1990,0.824,0.422146,1427.73,1423.84,0.516,0.517,5.65,6.21,1.099115044,1D,[0.8 - 1.0),[0.4 - 0.5),[1250 - 1500),[1000-1500),[0.5 - 0.6),[0.5-0.6),[5.0-6.0),[6.0-6.5),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KAWFIX
KEBRAK,1990,2.218,0.123559,25.18,0,0.042,0,1.74,4.92,2.827586207,3D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEBRAK
KEBREO,1990,1.69,0.229365,76.58,0,0.108,0,1.82,4.61,2.532967033,1D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEBREO
SAWVOB,1990,0.979,0.557173,1950.21,1936.63,0.524,0.525,7.07,7.43,1.050919378,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAWVOB
SEDHAK,1990,1.308,0.137643,72.67,0,0.075,0,1.21,4.86,4.016528926,3D,[1.3 - 1.4),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SEDHAK
VANMAY,1990,0.769,0.7559,2327.15,2330.45,0.919,0.921,4.75,6.16,1.296842105,1D,[0.6 - 0.8),[0.7 - 0.8),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[4.5-5.0),[6.0-6.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VANMAY
VEHLAV,1990,1.172,0.364099,171.19,0,0.249,0,3.31,4.68,1.413897281,3D,[1.1 - 1.2),[0.3 - 0.4),[150 - 200),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.3-3.6),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VEHLAV
JEZRUB,1991,1.381,0.15727,2.62,0,0.075,0,1.67,4.22,2.526946108,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JEZRUB
KEXFAU,1991,0.912,0.49645,131.66,133.97,0.442,0.434,3.46,4.27,1.234104046,1D,[0.8 - 1.0),[0.4 - 0.5),[100 - 150),[100-200),[0.4 - 0.5),[0.4-0.5),[3.3-3.6),[4.2-4.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEXFAU
KIDGOT,1991,0.773,0.619409,1906.6,1878.72,0.728,0.732,4.52,7.24,1.601769912,1D,[0.6 - 0.8),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[4.5-5.0),[7.0-8.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIDGOT
KIHYIJ,1991,1.419,0.17574,2.13,0,0.105,0,1.64,4.14,2.524390244,2D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIHYIJ
KIWFOL,1991,1.472,0.168927,3.52,0,0.067,0,2.77,4.04,1.458483755,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIWFOL
SIZWAZ,1991,1.203,0.366029,299.12,0,0.249,0,3.14,5.13,1.633757962,1D,[1.2 - 1.3),[0.3 - 0.4),[200 - 300),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[5.0-5.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIZWAZ
SOBGIZ,1991,1.188,0.327223,155.16,0,0.215,0,2.72,4.63,1.702205882,2D,[1.1 - 1.2),[0.3 - 0.4),[150 - 200),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOBGIZ
TAGPIA,1991,0.871,0.488997,937.32,893.15,0.45,0.445,4.1,5.79,1.412195122,1D,[0.8 - 1.0),[0.4 - 0.5),[800 - 1000),[800-1000),[0.4 - 0.5),[0.4-0.5),[4.0-4.5),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAGPIA
VIDMOK,1991,0.66,0.634718,2459.44,2474.69,0.862,0.862,4.75,6.16,1.296842105,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[4.5-5.0),[6.0-6.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIDMOK
VILDUP,1991,1.8,0.425698,133.79,133.08,0.287,0.283,3.57,4.64,1.299719888,2D,[1.8 - 2.0),[0.4 - 0.5),[100 - 150),[100-200),[0.2 - 0.3),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VILDUP
VIVFUB,1991,1.442,0.235787,53.1,0,0.132,0,1.85,4.69,2.535135135,2D,[1.4 - 1.5),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIVFUB
VIVGAI,1991,1.656,0.182591,20.72,0,0.088,0,1.87,4.32,2.310160428,1D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIVGAI
ACUFUR01,1992,1.146,0.324337,102.97,0,0.344,0,2.89,4.36,1.508650519,2D,[1.1 - 1.2),[0.3 - 0.4),[100 - 150),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[2.6-3.0),[4.3-4.4),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ACUFUR01
JISDOE,1992,1.05,0.346987,364.26,358.14,0.249,0.23,3.85,5.14,1.335064935,1D,[1.0 - 1.1),[0.3 - 0.4),[300 - 400),[300-400),[0.2 - 0.3),[0.2-0.3),[3.8-4.0),[5.0-5.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JISDOE
JOFZIN,1992,1.537,0.249076,2.13,0,0.115,0,2.59,4.07,1.571428571,1D,[1.5 - 1.6),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.0-4.2),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JOFZIN
JOGBAI,1992,1.364,0.278154,13.18,0,0.192,0,3.06,4.33,1.41503268,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.3-4.4),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JOGBAI
JORRUD,1992,0.467,0.595385,3291.79,3347.91,1.407,1.386,4.64,5.79,1.247844828,1D,[0.0 - 0.6),[0.5 - 0.6),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JORRUD
KOLFUM,1992,1.153,0.297812,16.61,0,0.195,0,2.1,4.2,2,2D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KOLFUM
KORLAE,1992,0.35,0.753867,9996.08,10186.57,2.255,2.249,5.11,6.55,1.281800391,1D,[0.0 - 0.6),[0.7 - 0.8),[3000 - 10250],[5000-10500],[2.0 - 7.0],[2.0-4.0),[5.0-6.0),[6.5-7.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KORLAE
KOSFIH,1992,1.721,0.184619,51.2,0,0.098,0,1.1,4.39,3.990909091,1D,[1.6 - 1.8),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KOSFIH
KOWKUC,1992,0.93,0.201859,183.46,0,0.161,0,1.29,5.15,3.992248062,3D,[0.8 - 1.0),[0.2 - 0.3),[150 - 200),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KOWKUC
SOFCEV,1992,1.186,0.218514,55.93,0,0.145,0,1.67,4.72,2.826347305,2D,[1.1 - 1.2),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOFCEV
SOJGUT,1992,1.205,0.277542,10.59,0,0.175,0,1.78,4.1,2.303370787,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOJGUT
SOJTOA,1992,1.485,0.248296,258.17,258.57,0.141,0.14,4.58,5.4,1.179039301,1D,[1.4 - 1.5),[0.2 - 0.3),[200 - 300),[200-300),[0.1 - 0.2),[0.1-0.2),[4.5-5.0),[5.3-5.6),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOJTOA
SOZSUV,1992,1.162,0.224763,124.21,0,0.159,0,2.02,5.12,2.534653465,1D,[1.1 - 1.2),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[5.0-5.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOZSUV
SUDBOI,1992,1.074,0.571117,1098.21,1068.9,0.468,0.471,5.79,6.49,1.1208981,1D,[1.0 - 1.1),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.4 - 0.5),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUDBOI
VAWXAS01,1992,0.904,0.608784,1718.26,1734.66,0.619,0.617,5.29,6.7,1.266540643,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAWXAS01
VOPLIV,1992,1.029,0.234005,103.55,0,0.17,0,1.52,4.98,3.276315789,3D,[1.0 - 1.1),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.4-1.6),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VOPLIV
JOWJEK,1993,1.172,0.22424,4.06,0,0.133,0,1.47,4.16,2.829931973,3D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.4-1.6),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JOWJEK
JUBHIX,1993,0.749,0.602388,1792.21,1754.72,0.729,0.727,8.14,9.66,1.186732187,1D,[0.6 - 0.8),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JUBHIX
JULDAV,1993,0.726,0.569422,1954.36,1990.21,0.741,0.732,4.31,5.45,1.26450116,2D,[0.6 - 0.8),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[4.0-4.5),[5.3-5.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JULDAV
KUDJOI,1993,0.998,0.417465,846.1,815.93,0.375,0.373,3.98,6.37,1.600502513,1D,[0.8 - 1.0),[0.4 - 0.5),[800 - 1000),[800-1000),[0.3 - 0.4),[0.3-0.4),[3.8-4.0),[6.0-6.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KUDJOI
PANVOP,1993,0.764,0.604344,1274.66,1275.21,0.717,0.711,11.93,12.45,1.043587594,1D,[0.6 - 0.8),[0.6 - 0.7),[1250 - 1500),[1000-1500),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PANVOP
PEFVIF,1993,1.46,0.303879,209.05,0,0.21,0,2.72,6.04,2.220588235,3D,[1.4 - 1.5),[0.3 - 0.4),[200 - 300),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[6.0-6.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PEFVIF
