Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
JOGBAI,1992,1.364,0.278,13.180,0.192,3.060,4.330,1.415,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[4.3-4.4),[1.4-1.5)
JISDOE,1992,1.050,0.347,364.260,0.249,3.850,5.140,1.335,1D,[1.0-1.1),[0.3-0.4),[300-400),[0.2-0.3),[3.8-4.0),[5.0-5.3),[1.3-1.4)
SOJTOA,1992,1.485,0.248,258.170,0.141,4.580,5.400,1.179,1D,[1.4-1.5),[0.2-0.3),[200-300),[0.1-0.2),[4.5-5.0),[5.3-5.6),[1.1-1.2)
JORRUD,1992,0.467,0.595,3291.790,1.407,4.640,5.790,1.248,1D,[0.0-0.6),[0.5-0.6),[3000-10250],[1.0-1.5),[4.5-5.0),[5.6-6.0),[1.2-1.3)
KORLAE,1992,0.350,0.754,9996.080,2.255,5.110,6.550,1.282,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[2.0-7.0],[5.0-6.0),[6.5-7.0),[1.2-1.3)
VAWXAS01,1992,0.904,0.609,1718.260,0.619,5.290,6.700,1.267,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.2-1.3)
SUDBOI,1992,1.074,0.571,1098.210,0.468,5.790,6.490,1.121,1D,[1.0-1.1),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.1-1.2)
SOWYOS,1993,1.125,0.149,91.280,0.099,0.890,5.060,5.685,NON-POROUS,[1.1-1.2),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[5.0-5.3),[5.0-12.0]
SOWYEI,1993,1.279,0.137,57.220,0.080,1.140,4.540,3.982,2D,[1.2-1.3),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[4.5-4.6),[3.0-4.0)
JOWJEK,1993,1.172,0.224,4.060,0.133,1.470,4.160,2.830,3D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[1.4-1.6),[3.9-4.2),[2.5-3.0)
WACRIB,1993,1.176,0.264,71.570,0.167,1.970,4.550,2.310,2D,[1.1-1.2),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.5-4.6),[2.0-2.5)
YAGJIZ,1993,1.078,0.322,64.360,0.221,2.680,4.570,1.705,1D,[1.0-1.1),[0.3-0.4),[50-100),[0.2-0.3),[2.6-3.0),[4.5-4.6),[1.6-1.8)
